,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy
0,2018-04-05,2023-03-31,1821 days,75.41163556531284,56.05808887538181,108540.05807837342,-99.94394191112463,-24.41487648529008,-77.68191349066475,19.457017950989744,0.0,0.0,0.0,-99.94835262679248,-52.20376807873055,1814 days,910 days,1363,43.50696991929567,18.548853148469146,-36.13391292869256,-0.5977926268804667,1 days,1 days,0.7581116443961209,-0.4755641850392296,-2.1288910830814003,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07   97034.126046     0.029659              NaT
2018-04-08   97961.341997     0.020387              NaT
2018-04-09   95540.816469     0.044592              NaT
...                   ...          ...              ...
2023-03-27      56.058089     0.999484              NaT
2023-03-28      56.058089     0.999484              NaT
2023-03-29      56.058089     0.999484              NaT
2023-03-30      56.058089     0.999484              NaT
2023-03-31      56.058089     0.999484        1814 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  \
0     -885         2        3  112.908732  116.291000 -2993.307449  -0.029956   
1      832         3        4  116.523582  117.782997  1047.833030   0.010808   
2      830         4        5  118.018563  115.212997 -2328.619526  -0.023772   
3     -832         5        6  114.982571  114.289001   577.050161   0.006032   
4      840         6        7  114.517580  118.292000  3170.513049   0.032959   
...    ...       ...      ...         ...         ...          ...        ...   
1358    -1      1670     1671   55.272025   55.019201     0.252824   0.004574   
1359    -1      1671     1672   54.909163   55.100758    -0.191595  -0.003489   
1360    -1      1672     1673   54.990556   60.938315    -5.947759  -0.108160   
1361    -1      1679     1680   57.693911   50.611102     7.082809   0.122765   
1362    -1      1680     1681   50.509880   60.429274    -9.919394  -0.196385   

      EntryTime   ExitTime Duration  
0    2018-04-07 2018-04-08   1 days  
1    2018-04-08 2018-04-09   1 days  
2    2018-04-09 2018-04-10   1 days  
3    2018-04-10 2018-04-11   1 days  
4    2018-04-11 2018-04-12   1 days  
...         ...        ...      ...  
1358 2022-10-31 2022-11-01   1 days  
1359 2022-11-01 2022-11-02   1 days  
1360 2022-11-02 2022-11-03   1 days  
1361 2022-11-09 2022-11-10   1 days  
1362 2022-11-10 2022-11-11   1 days  

[1363 rows x 10 columns]",LTCUSD,AD
0,2018-04-05,2023-03-31,1821 days,44.072447859495064,8926.46750790554,107484.59575299671,-91.07353249209446,313.79881495712596,-38.37025431301074,25.519428730484545,0.0,0.0,0.0,-92.28402764421271,-36.68241280436724,1802 days,607 days,798,39.9749373433584,17.803709458902418,-36.719000638991474,-0.38909418166535037,1 days,1 days,0.7728419494639559,-0.314651811944717,-2.097989825467709,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07   95592.383534     0.044076              NaT
2018-04-08   96625.132511     0.033749              NaT
2018-04-09   93155.709689     0.068443              NaT
...                   ...          ...              ...
2023-03-27    8926.467508     0.916951              NaT
2023-03-28    8926.467508     0.916951              NaT
2023-03-29    8926.467508     0.916951              NaT
2023-03-30    8926.467508     0.916951              NaT
2023-03-31    8926.467508     0.916951        1802 days

[1822 rows x 3 columns]","     Size  EntryBar  ExitBar   EntryPrice    ExitPrice          PnL  \
0     -15         2        3  6617.248746  6919.979981 -4540.968516   
1      13         3        4  6933.819940  7044.319824  1436.498489   
2      13         4        5  7058.408464  6795.439941 -3418.590792   
3     -13         5        6  6781.849062  6843.470215  -801.074993   
4      13         6        7  6857.157155  6955.379883  1276.895458   
..    ...       ...      ...          ...          ...          ...   
793     1       800      801  9499.696822  9477.553711   -22.143111   
794     1       801      802  9496.508818  9386.035156  -110.473662   
795    -1       802      803  9367.263086  9454.266602   -87.003516   
796    -1       807      808  9272.378041  9330.926758   -58.548717   
797    -1       809      810  9282.313209  9644.076172  -361.762963   

     ReturnPct  EntryTime   ExitTime Duration  
0    -0.045749 2018-04-07 2018-04-08   1 days  
1     0.015936 2018-04-08 2018-04-09   1 days  
2    -0.037256 2018-04-09 2018-04-10   1 days  
3    -0.009086 2018-04-10 2018-04-11   1 days  
4     0.014324 2018-04-11 2018-04-12   1 days  
..         ...        ...        ...      ...  
793  -0.002331 2020-06-13 2020-06-14   1 days  
794  -0.011633 2020-06-14 2020-06-15   1 days  
795  -0.009288 2020-06-15 2020-06-16   1 days  
796  -0.006314 2020-06-20 2020-06-21   1 days  
797  -0.038973 2020-06-22 2020-06-23   1 days  

[798 rows x 10 columns]",BTCUSD,AD
0,2018-04-05,2023-03-31,1821 days,58.287596048298575,964.962396693877,142753.82239866178,-99.03503760330612,371.041405059138,-60.532614273029516,30.705796856949853,0.0,0.0,0.0,-99.49003324575041,-23.18954362747025,1802 days,364 days,1058,40.831758034026464,25.89976928583615,-42.24828634262083,-0.4522543305820803,1 days,1 days,0.8259083034256414,-0.3249005139499849,-1.182053944237228,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07   95767.817362     0.042322              NaT
2018-04-08   99108.377040     0.008916              NaT
2018-04-09   98423.933726     0.015761              NaT
...                   ...          ...              ...
2023-03-27     964.962397     0.993240              NaT
2023-03-28     964.962397     0.993240              NaT
2023-03-29     964.962397     0.993240              NaT
2023-03-30     964.962397     0.993240              NaT
2023-03-31     964.962397     0.993240        1802 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar   EntryPrice    ExitPrice          PnL  \
0     -270         2        3   369.639245   385.743012 -4348.016985   
1      247         3        4   386.514498   400.856995  3542.596778   
2      246         4        5   401.658709   399.411011  -552.933681   
3     -247         5        6   398.612189   415.023987 -4053.714136   
4      227         6        7   415.854035   430.161011  3247.683535   
...    ...       ...      ...          ...          ...          ...   
1053    -1      1563     1564  1227.567055  1362.397296  -134.830241   
1054     1      1564     1565  1365.122091  1338.082706   -27.039385   
1055    -1      1565     1566  1335.406541  1571.206830  -235.800289   
1056    -1      1631     1632  1243.132838  1326.367124   -83.234286   
1057    -1      1680     1681  1098.966833  1296.295041  -197.328208   

      ReturnPct  EntryTime   ExitTime Duration  
0     -0.043566 2018-04-07 2018-04-08   1 days  
1      0.037107 2018-04-08 2018-04-09   1 days  
2     -0.005596 2018-04-09 2018-04-10   1 days  
3     -0.041172 2018-04-10 2018-04-11   1 days  
4      0.034404 2018-04-11 2018-04-12   1 days  
...         ...        ...        ...      ...  
1053  -0.109835 2022-07-16 2022-07-17   1 days  
1054  -0.019807 2022-07-17 2022-07-18   1 days  
1055  -0.176576 2022-07-18 2022-07-19   1 days  
1056  -0.066955 2022-09-22 2022-09-23   1 days  
1057  -0.179558 2022-11-10 2022-11-11   1 days  

[1058 rows x 10 columns]",ETHUSD,AD
0,2018-04-05,2023-03-31,1821 days,99.89023051591658,412.7966799988984,115126.05953115976,-99.58720332000111,49.52027266025875,-66.70629854258678,50.643430392730416,0.0,0.0,0.0,-99.93645356922418,-35.40847753007313,1814 days,607 days,1820,43.79120879120879,42.020354676859874,-40.23801079454677,-0.2931584083464944,1 days,1 days,0.9399173506685913,-0.11917619744991159,-1.725804651521597,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07   97375.573862     0.026244              NaT
2018-04-08  101844.553704     0.000000           2 days
2018-04-09   98131.558781     0.036457              NaT
...                   ...          ...              ...
2023-03-27     420.922010     0.996344              NaT
2023-03-28     409.530923     0.996443              NaT
2023-03-29     418.590927     0.996364              NaT
2023-03-30     410.024269     0.996438              NaT
2023-03-31     412.796680     0.996414        1814 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  \
0    -7618         2        3   13.125297  13.471300 -2635.853900  -0.026362   
1     7213         3        4   13.498243  14.144100  4658.570146   0.047848   
2     7198         4        5   14.172388  13.654300 -3729.202465  -0.036556   
3    -7213         5        6   13.626991  13.686700  -430.679570  -0.004382   
4     7135         6        7   13.714073  14.562800  6055.667860   0.061887   
...    ...       ...      ...         ...        ...          ...        ...   
1815    21      1817     1818   20.389908  19.678350   -14.942727  -0.034898   
1816   -21      1818     1819   19.638993  20.177937   -11.317818  -0.027443   
1817    20      1819     1820   20.218293  20.667462     8.983383   0.022216   
1818    20      1820     1821   20.708797  20.282112    -8.533698  -0.020604   
1819   -20      1821     1821   20.241548  20.282112    -0.811284  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-07 2018-04-08   1 days  
1    2018-04-08 2018-04-09   1 days  
2    2018-04-09 2018-04-10   1 days  
3    2018-04-10 2018-04-11   1 days  
4    2018-04-11 2018-04-12   1 days  
...         ...        ...      ...  
1815 2023-03-27 2023-03-28   1 days  
1816 2023-03-28 2023-03-29   1 days  
1817 2023-03-29 2023-03-30   1 days  
1818 2023-03-30 2023-03-31   1 days  
1819 2023-03-31 2023-03-31   0 days  

[1820 rows x 10 columns]",ETCUSD,AD
0,2018-04-05,2023-03-31,1821 days,99.89023051591658,1.5144147054236257,291475.42879225034,-99.99848558529457,-81.40466341317104,-89.1741556792093,16.61317349088297,0.0,0.0,0.0,-99.99950304214958,-25.72803054410924,1715 days,227 days,1820,42.08791208791209,41.35656379243986,-56.71275740424131,-0.6359669623488995,1 days,1 days,0.7947054340455955,-0.4480343944347613,-0.511671804619181,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07   99379.599181     0.006204              NaT
2018-04-08   98057.076694     0.019429              NaT
2018-04-09   96102.214343     0.038978              NaT
...                   ...          ...              ...
2023-03-27       1.478605     0.999995              NaT
2023-03-28       1.448510     0.999995              NaT
2023-03-29       1.479891     0.999995              NaT
2023-03-30       1.518528     0.999995              NaT
2023-03-31       1.514415     0.999995        1715 days

[1822 rows x 3 columns]","       Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  \
0    -17032         2        3    5.870984   5.899350   -483.124602   
1    -16902         3        4    5.887551   5.977280  -1516.592804   
2     16362         4        5    5.989235   5.878140  -1817.730830   
3    -16395         5        6    5.866384   5.998230  -2161.619761   
4     15643         6        7    6.010226   8.495850  38882.602779   
...     ...       ...      ...         ...        ...           ...   
1815      1      1817     1818    1.143521   1.085851     -0.057670   
1816     -1      1818     1819    1.083679   1.114836     -0.031157   
1817      1      1819     1820    1.117066   1.150450      0.033384   
1818      1      1820     1821    1.152751   1.190687      0.037936   
1819      1      1821     1821    1.193068   1.190687     -0.002381   

      ReturnPct  EntryTime   ExitTime Duration  
0     -0.004832 2018-04-07 2018-04-08   1 days  
1     -0.015240 2018-04-08 2018-04-09   1 days  
2     -0.018549 2018-04-09 2018-04-10   1 days  
3     -0.022475 2018-04-10 2018-04-11   1 days  
4      0.413566 2018-04-11 2018-04-12   1 days  
...         ...        ...        ...      ...  
1815  -0.050432 2023-03-27 2023-03-28   1 days  
1816  -0.028751 2023-03-28 2023-03-29   1 days  
1817   0.029886 2023-03-29 2023-03-30   1 days  
1818   0.032909 2023-03-30 2023-03-31   1 days  
1819  -0.001996 2023-03-31 2023-03-31   0 days  

[1820 rows x 10 columns]",EOSUSD,AD
0,2018-04-05,2023-03-31,1821 days,99.89023051591658,129.878961053888,112768.330123722,-99.87012103894611,-43.4500353642518,-73.59067962384866,38.24539281643862,0.0,0.0,0.0,-99.89511080292303,-53.95164548064451,1813 days,910 days,1820,45.16483516483517,75.92402252632165,-33.684309659329195,-0.36724483394298124,1 days,1 days,0.8882808969939607,-0.21670026305685583,-1.3777549064493706,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07   95496.435541     0.045036              NaT
2018-04-08   97481.422005     0.025186              NaT
2018-04-09   93023.479866     0.069765              NaT
...                   ...          ...              ...
2023-03-27     118.904691     0.998946              NaT
2023-03-28     125.295378     0.998889              NaT
2023-03-29     130.102448     0.998846              NaT
2023-03-30     123.839052     0.998902              NaT
2023-03-31     129.878961     0.998848        1813 days

[1822 rows x 3 columns]","        Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  \
0    -517705         2        3    0.193160   0.201817 -4481.820849   
1     472346         3        4    0.202221   0.206718  2124.312841   
2     471403         4        5    0.207131   0.197444 -4566.686393   
3    -472348         5        6    0.197049   0.199526 -1169.953093   
4     459701         6        7    0.199925   0.211258  5209.767529   
...      ...       ...      ...         ...        ...          ...   
1815    1284      1817     1818    0.092108   0.092636     0.678147   
1816    1281      1818     1819    0.092821   0.097777     6.348288   
1817    1279      1819     1820    0.097973   0.101726     4.800657   
1818   -1281      1820     1821    0.101523   0.106362    -6.199338   
1819    1162      1821     1821    0.106575   0.106362    -0.247185   

      ReturnPct  EntryTime   ExitTime Duration  
0     -0.044818 2018-04-07 2018-04-08   1 days  
1      0.022240 2018-04-08 2018-04-09   1 days  
2     -0.046770 2018-04-09 2018-04-10   1 days  
3     -0.012570 2018-04-10 2018-04-11   1 days  
4      0.056686 2018-04-11 2018-04-12   1 days  
...         ...        ...        ...      ...  
1815   0.005734 2023-03-27 2023-03-28   1 days  
1816   0.053390 2023-03-28 2023-03-29   1 days  
1817   0.038311 2023-03-29 2023-03-30   1 days  
1818  -0.047669 2023-03-30 2023-03-31   1 days  
1819  -0.001996 2023-03-31 2023-03-31   0 days  

[1820 rows x 10 columns]",XLMUSD,AD
0,2018-04-05,2023-03-31,1821 days,99.89023051591658,5.785726398620351,148491.0883610637,-99.99421427360137,8.98324126010235,-85.83958155383937,21.687957528494366,0.0,0.0,0.0,-99.9966258172299,-24.702190974816062,1574 days,202 days,1820,41.81318681318682,42.0419709243429,-55.486907354077,-0.5372992017220413,1 days,1 days,0.8140570333322908,-0.3642486043410157,-1.0052907961847475,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07   97484.818488     0.025152              NaT
2018-04-08   99638.196464     0.003618              NaT
2018-04-09   97741.652970     0.022583              NaT
...                   ...          ...              ...
2023-03-27       5.010361     0.999966              NaT
2023-03-28       5.355551     0.999964              NaT
2023-03-29       5.628225     0.999962              NaT
2023-03-30       5.720587     0.999961              NaT
2023-03-31       5.785726     0.999961        1574 days

[1822 rows x 3 columns]","        Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  \
0    -210129         2        3    0.475897   0.488227 -2590.827952   
1     199117         3        4    0.489203   0.501201  2388.915367   
2     198720         4        5    0.502203   0.492134 -2000.991565   
3    -199118         5        6    0.491150   0.492568  -282.402688   
4     197576         6        7    0.493553   0.538657  8911.441034   
...      ...       ...      ...         ...        ...          ...   
1815     -11      1817     1818    0.447159   0.478999    -0.350241   
1816      10      1818     1819    0.479957   0.514303     0.343460   
1817      10      1819     1820    0.515332   0.542370     0.270384   
1818     -10      1820     1821    0.541285   0.531772     0.095133   
1819      10      1821     1821    0.532836   0.531772    -0.010635   

      ReturnPct  EntryTime   ExitTime Duration  
0     -0.025908 2018-04-07 2018-04-08   1 days  
1      0.024525 2018-04-08 2018-04-09   1 days  
2     -0.020050 2018-04-09 2018-04-10   1 days  
3     -0.002888 2018-04-10 2018-04-11   1 days  
4      0.091386 2018-04-11 2018-04-12   1 days  
...         ...        ...        ...      ...  
1815  -0.071205 2023-03-27 2023-03-28   1 days  
1816   0.071561 2023-03-28 2023-03-29   1 days  
1817   0.052468 2023-03-29 2023-03-30   1 days  
1818   0.017575 2023-03-30 2023-03-31   1 days  
1819  -0.001996 2023-03-31 2023-03-31   0 days  

[1820 rows x 10 columns]",XRPUSD,AD
0,2018-04-05,2023-03-31,1821 days,99.89023051591658,194.95453112102416,111622.59408647899,-99.80504546887897,-81.20870457128323,-71.35200588178603,40.35233138125878,0.0,0.0,0.0,-99.85383667576421,-52.36612607651312,1814 days,910 days,1820,45.16483516483517,56.62117863464824,-37.596483406430835,-0.36405374750855257,1 days,1 days,0.8994276966073286,-0.20070220738589392,-2.0730000339167396,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07   95574.796351     0.044252              NaT
2018-04-08   99452.918734     0.005471              NaT
2018-04-09   95284.056897     0.047159              NaT
...                   ...          ...              ...
2023-03-27     197.565052     0.998230              NaT
2023-03-28     195.977691     0.998244              NaT
2023-03-29     200.145864     0.998207              NaT
2023-03-30     195.222098     0.998251              NaT
2023-03-31     194.954531     0.998253        1814 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  \
0     -350         2        3  285.152551  297.940002 -4475.607989  -0.044844   
1      319         3        4  298.535882  311.259003  4058.675374   0.042618   
2      319         4        5  311.881521  298.649994 -4220.857051  -0.042425   
3     -319         5        6  298.052694  299.513000  -465.837802  -0.004899   
4      316         6        7  300.112027  308.941986  2790.267233   0.029422   
...    ...       ...      ...         ...         ...          ...        ...   
1815     3      1817     1818   59.269630   56.113630    -9.467999  -0.053248   
1816    -3      1818     1819   56.001403   56.545974    -1.633714  -0.009724   
1817     3      1819     1820   56.659066   58.073220     4.242462   0.024959   
1818     3      1820     1821   58.189366   56.546976    -4.927171  -0.028225   
1819    -3      1821     1821   56.433882   56.546976    -0.339282  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-07 2018-04-08   1 days  
1    2018-04-08 2018-04-09   1 days  
2    2018-04-09 2018-04-10   1 days  
3    2018-04-10 2018-04-11   1 days  
4    2018-04-11 2018-04-12   1 days  
...         ...        ...      ...  
1815 2023-03-27 2023-03-28   1 days  
1816 2023-03-28 2023-03-29   1 days  
1817 2023-03-29 2023-03-30   1 days  
1818 2023-03-30 2023-03-31   1 days  
1819 2023-03-31 2023-03-31   0 days  

[1820 rows x 10 columns]",DASHUSD,AD
0,2018-04-05,2023-03-31,1821 days,71.13062568605928,43.476700037258766,116412.466381414,-99.95652329996275,-79.29861249343946,-78.78982440094326,22.19783355808059,0.0,0.0,0.0,-99.96394760719204,-53.729815137265625,1813 days,910 days,1276,44.122257053291534,25.635175447259307,-42.6526912002927,-0.6388260508772614,1 days,1 days,0.7882439222204781,-0.4720790835277991,-1.5591157249132592,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07   96137.306388     0.038627              NaT
2018-04-08   97168.132261     0.028319              NaT
2018-04-09   93551.952495     0.064480              NaT
...                   ...          ...              ...
2023-03-27      43.931779     0.999623              NaT
2023-03-28      43.437249     0.999627              NaT
2023-03-29      44.056699     0.999622              NaT
2023-03-30      43.333174     0.999628              NaT
2023-03-31      43.476700     0.999627        1813 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  \
0     -571         2        3  175.042219  181.699997 -3801.590959  -0.038035   
1      528         3        4  182.063397  184.223999  1140.797912   0.011867   
2      527         4        5  184.592447  177.750000 -3605.969568  -0.037068   
3     -528         5        6  177.394500  179.944000 -1346.136106  -0.014372   
4      512         6        7  180.303888  185.397995  2608.182681   0.028253   
...    ...       ...      ...         ...         ...          ...        ...   
1271     1      1817     1818   36.318808   35.922099    -0.396709  -0.010923   
1272    -1      1818     1819   35.850255   36.426508    -0.576253  -0.016074   
1273     1      1819     1820   36.499361   37.182091     0.682730   0.018705   
1274    -1      1820     1821   37.107727   37.872206    -0.764479  -0.020602   
1275     1      1821     1821   37.947950   37.872206    -0.075744  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-04-07 2018-04-08   1 days  
1    2018-04-08 2018-04-09   1 days  
2    2018-04-09 2018-04-10   1 days  
3    2018-04-10 2018-04-11   1 days  
4    2018-04-11 2018-04-12   1 days  
...         ...        ...      ...  
1271 2023-03-27 2023-03-28   1 days  
1272 2023-03-28 2023-03-29   1 days  
1273 2023-03-29 2023-03-30   1 days  
1274 2023-03-30 2023-03-31   1 days  
1275 2023-03-31 2023-03-31   0 days  

[1276 rows x 10 columns]",ZECUSD,AD
0,2018-04-05,2023-03-31,1821 days,99.89023051591658,30.740666650195866,151963.66995469414,-99.9692593333498,62.62308192132754,-80.21272313037791,26.212355468644688,0.0,0.0,0.0,-99.97994992175612,-22.55634961239995,1556 days,122 days,1820,43.51648351648352,39.78217152427985,-41.06127367905699,-0.44349357599893224,1 days,1 days,0.8414915763680687,-0.30326206638783204,-0.785009769189549,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07   99296.953479     0.007030              NaT
2018-04-08   97567.229443     0.024328              NaT
2018-04-09  102240.613787     0.000000           3 days
...                   ...          ...              ...
2023-03-27      30.832891     0.999797              NaT
2023-03-28      31.069499     0.999796              NaT
2023-03-29      31.067831     0.999796              NaT
2023-03-30      30.770925     0.999798              NaT
2023-03-31      30.740667     0.999798        1556 days

[1822 rows x 3 columns]","         Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  \
0    -2717004         2        3    0.036805   0.036977  -466.667173   
1    -2697157         3        4    0.036903   0.037645 -2001.166425   
2    -2596031         4        5    0.037570   0.035792  4614.990269   
3    -2859629         5        6    0.035720   0.036851 -3233.050793   
4     2678805         6        7    0.036925   0.036143 -2094.027226   
...       ...       ...      ...         ...        ...          ...   
1815     -477      1817     1818    0.064073   0.063607     0.222090   
1816      483      1818     1819    0.063734   0.064241     0.244778   
1817      482      1819     1820    0.064369   0.064356    -0.006498   
1818     -483      1820     1821    0.064227   0.064859    -0.305117   
1819      473      1821     1821    0.064989   0.064859    -0.061357   

      ReturnPct  EntryTime   ExitTime Duration  
0     -0.004667 2018-04-07 2018-04-08   1 days  
1     -0.020105 2018-04-08 2018-04-09   1 days  
2      0.047318 2018-04-09 2018-04-10   1 days  
3     -0.031651 2018-04-10 2018-04-11   1 days  
4     -0.021170 2018-04-11 2018-04-12   1 days  
...         ...        ...        ...      ...  
1815   0.007267 2023-03-27 2023-03-28   1 days  
1816   0.007952 2023-03-28 2023-03-29   1 days  
1817  -0.000209 2023-03-29 2023-03-30   1 days  
1818  -0.009836 2023-03-30 2023-03-31   1 days  
1819  -0.001996 2023-03-31 2023-03-31   0 days  

[1820 rows x 10 columns]",TRXUSD,AD
