,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy,StrategyParameters
0,2018-04-05,2023-04-04,1825 days,0.0,100000.0,100000.0,0.0,107.1304347826087,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
2018-04-10  100000.0          0.0               NaN
2018-04-11  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN
2023-04-03  100000.0          0.0               NaN
2023-04-04  100000.0          0.0               NaN

[1259 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",AES,EBSW,
0,2018-04-05,2023-04-04,1825 days,0.0,100000.0,100000.0,0.0,78.6630654962863,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
2018-04-10  100000.0          0.0               NaN
2018-04-11  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN
2023-04-03  100000.0          0.0               NaN
2023-04-04  100000.0          0.0               NaN

[1259 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",ADM,EBSW,
0,2018-04-05,2023-04-04,1825 days,0.0,100000.0,100000.0,0.0,-53.240042072529384,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
2018-04-10  100000.0          0.0               NaN
2018-04-11  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN
2023-04-03  100000.0          0.0               NaN
2023-04-04  100000.0          0.0               NaN

[1259 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",MMM,EBSW,
0,2018-04-05,2023-04-04,1825 days,0.0,100000.0,100000.0,0.0,1.3080947983994986,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
2018-04-10  100000.0          0.0               NaN
2018-04-11  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN
2023-04-03  100000.0          0.0               NaN
2023-04-04  100000.0          0.0               NaN

[1259 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",AOS,EBSW,
0,2018-04-05,2023-04-04,1825 days,0.0,100000.0,100000.0,0.0,71.73404610758436,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
2018-04-10  100000.0          0.0               NaN
2018-04-11  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN
2023-04-03  100000.0          0.0               NaN
2023-04-04  100000.0          0.0               NaN

[1259 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",ABT,EBSW,
0,2018-04-05,2023-04-04,1825 days,0.0,100000.0,100000.0,0.0,73.30007591367533,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
2018-04-10  100000.0          0.0               NaN
2018-04-11  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN
2023-04-03  100000.0          0.0               NaN
2023-04-04  100000.0          0.0               NaN

[1259 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",ABBV,EBSW,
0,2018-04-05,2023-04-04,1825 days,0.0,100000.0,100000.0,0.0,46.24713958810067,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
2018-04-10  100000.0          0.0               NaN
2018-04-11  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN
2023-04-03  100000.0          0.0               NaN
2023-04-04  100000.0          0.0               NaN

[1259 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",AFL,EBSW,
0,2018-04-05,2023-04-04,1825 days,0.0,100000.0,100000.0,0.0,72.29578598908472,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
2018-04-10  100000.0          0.0               NaN
2018-04-11  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN
2023-04-03  100000.0          0.0               NaN
2023-04-04  100000.0          0.0               NaN

[1259 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",ADBE,EBSW,
0,2018-04-05,2023-04-04,1825 days,0.0,100000.0,100000.0,0.0,88.586123110755,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
2018-04-10  100000.0          0.0               NaN
2018-04-11  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN
2023-04-03  100000.0          0.0               NaN
2023-04-04  100000.0          0.0               NaN

[1259 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",ACN,EBSW,
0,2018-04-05,2023-04-04,1825 days,0.0,100000.0,100000.0,0.0,82.14620032337672,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
2018-04-09  100000.0          0.0               NaN
2018-04-10  100000.0          0.0               NaN
2018-04-11  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN
2023-04-03  100000.0          0.0               NaN
2023-04-04  100000.0          0.0               NaN

[1259 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",ADP,EBSW,
