,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy,StrategyParameters
0,2018-04-04,2023-04-03,1825 days,53.375694996028585,105241.02663999994,114257.76904,5.241026639999938,6.943150046598322,1.0277170991798368,22.502553441012076,0.04567113247276057,0.06714164263229276,0.030105464930775202,-34.13722729554184,-10.54684742916259,1446 days,372 days,15,26.666666666666668,24.88032715342381,-10.234126832776669,0.3409182539144018,138 days,65 days,1.2361831725845223,1.1180037496871404,0.11582544179615879,"                  Equity  DrawdownPct DrawdownDuration
2018-04-04  100000.00000     0.000000              NaT
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
...                  ...          ...              ...
2023-03-28  104080.50664     0.089073              NaT
2023-03-29  105256.29664     0.078782              NaT
2023-03-30  103698.75664     0.092414              NaT
2023-03-31  105607.50664     0.075708              NaT
2023-04-03  105241.02664     0.078916        1446 days

[1259 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  \
0   2022       215      281    49.43868    48.1900  -2524.83096  -0.025257   
1  -2026       281      361    48.09362    49.0000  -1836.32588  -0.018846   
2   1947       361      378    49.09800    44.1900  -9555.87600  -0.099963   
3  -1891       382      386    45.49882    47.7300  -4219.16138  -0.049038   
4   1711       386      424    47.82546    46.3000  -2610.06206  -0.031896   
5  -1715       424      492    46.20740    35.0925  19062.05350   0.240544   
6   2232       530      532    44.04792    39.5400 -10061.67744  -0.102341   
7  -2236       532      538    39.46092    42.8100  -7488.54288  -0.084871   
8   1882       538      584    42.89562    53.3500  19675.14316   0.243717   
9  -1550       873      900    64.76022    70.9280  -9560.05900  -0.095240   
10  1164       904      969    78.06582    73.6100  -5186.57448  -0.057078   
11 -1166       969     1058    73.46278    55.1850  21311.89148   0.248803   
12  1680      1099     1109    63.67710    57.4830 -10406.08800  -0.097274   
13 -1685      1111     1165    57.31514    60.0800  -4658.78910  -0.048240   
14  1527      1165     1258    60.20016    68.9100  13299.92568   0.144681   

    EntryTime   ExitTime Duration  
0  2019-02-11 2019-05-16  94 days  
1  2019-05-16 2019-09-10 117 days  
2  2019-09-10 2019-10-03  23 days  
3  2019-10-09 2019-10-15   6 days  
4  2019-10-15 2019-12-09  55 days  
5  2019-12-09 2020-03-18 100 days  
6  2020-05-12 2020-05-14   2 days  
7  2020-05-14 2020-05-22   8 days  
8  2020-05-22 2020-07-29  68 days  
9  2021-09-21 2021-10-28  37 days  
10 2021-11-03 2022-02-07  96 days  
11 2022-02-07 2022-06-15 128 days  
12 2022-08-15 2022-08-29  14 days  
13 2022-08-31 2022-11-16  77 days  
14 2022-11-16 2023-04-03 138 days  ",AOS,EMA,
0,2018-04-04,2023-04-03,1825 days,49.24543288324067,93213.95119999998,102318.76956,-6.786048800000019,83.18906605922552,-1.3967260108214585,21.123147790666096,0.0,0.0,0.0,-39.39563317008285,-11.004333295898057,1189 days,259 days,12,33.33333333333333,25.334103530316355,-14.75312076514481,-0.5836074566731297,149 days,75 days,1.015348123953251,0.07221053769109106,-0.20690291946439177,"                 Equity  DrawdownPct DrawdownDuration
2018-04-04  100000.0000     0.000000              NaT
2018-04-05  100000.0000     0.000000              NaT
2018-04-06  100000.0000     0.000000              NaT
2018-04-09  100000.0000     0.000000              NaT
2018-04-10  100000.0000     0.000000              NaT
...                 ...          ...              ...
2023-03-28   94259.7512     0.078764              NaT
2023-03-29   93821.5112     0.083047              NaT
2023-03-30   93343.4312     0.087719              NaT
2023-03-31   93154.1912     0.089569              NaT
2023-04-03   93213.9512     0.088985        1189 days

[1259 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  \
0   2438       369      382    41.01186     38.680  -5685.07468  -0.056858   
1  -2443       382      392    38.60264     40.520  -4684.11048  -0.049669   
2   2207       392      479    40.60104     36.630  -8764.08528  -0.097806   
3  -2212       479      547    36.55674     41.950 -11929.89112  -0.147531   
4   1640       547      641    42.03390     51.425  15401.40400   0.223417   
5  -1396       823      871    60.37900     62.630  -3142.39600  -0.037281   
6   1293       871      875    62.75526     59.280  -4493.51118  -0.055378   
7  -1296       875      884    59.16144     61.990  -3665.81376  -0.047811   
8   1175       884      972    62.11398     77.850  18489.82350   0.253341   
9  -1154      1061     1097    79.31106     85.041  -6612.35076  -0.072246   
10   994      1099     1202    85.41048     86.760   1341.42288   0.015800   
11  -996      1202     1258    86.58648     79.600   6958.53408   0.080688   

    EntryTime   ExitTime Duration  
0  2019-09-20 2019-10-09  19 days  
1  2019-10-09 2019-10-23  14 days  
2  2019-10-23 2020-02-28 128 days  
3  2020-02-28 2020-06-05  98 days  
4  2020-06-05 2020-10-19 136 days  
5  2021-07-12 2021-09-17  67 days  
6  2021-09-17 2021-09-23   6 days  
7  2021-09-23 2021-10-06  13 days  
8  2021-10-06 2022-02-10 127 days  
9  2022-06-21 2022-08-11  51 days  
10 2022-08-15 2023-01-11 149 days  
11 2023-01-11 2023-04-03  82 days  ",ADM,EMA,
0,2018-04-04,2023-04-03,1825 days,61.79507545671168,130487.45835999999,172236.403,30.48745835999999,-51.935098363669795,5.470769171458878,21.288761914334366,0.25697920778451866,0.38407550060061263,0.15949197834687098,-34.30121833187611,-4.8832108136935926,335 days,40 days,12,41.66666666666667,26.345461781671887,-10.603744297001526,2.237974289047018,310 days,94 days,1.7096134268016423,3.1476680830867574,0.5164094985635919,"                  Equity  DrawdownPct DrawdownDuration
2018-04-04  100000.00000     0.000000              NaT
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
...                  ...          ...              ...
2023-03-28  133870.17836     0.222753              NaT
2023-03-29  132431.77836     0.231105              NaT
2023-03-30  132838.49836     0.228743              NaT
2023-03-31  130527.13836     0.242163              NaT
2023-04-03  130487.45836     0.242393         178 days

[1259 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  \
0    491       216      271   203.27574   184.5000  -9218.88834  -0.092366   
1   -493       271      402   184.13100   174.9100   4545.95300   0.050078   
2    543       402      461   175.25982   157.7430  -9511.63326  -0.099948   
3   -538       462      495   159.45046   117.4425  22600.28248   0.263455   
4    679       545      759   159.66870   197.0500  25381.90270   0.234118   
5   -684       857      979   195.60800   146.4900  33596.71200   0.251104   
6   1110      1098     1108   150.67074   134.6940 -17734.18140  -0.106037   
7  -1181      1110     1170   126.63622   128.5900  -2307.41418  -0.015428   
8   1143      1170     1186   128.84718   121.3100  -8614.99674  -0.058497   
9  -1145      1186     1205   121.06738   129.7600  -9953.04990  -0.071800   
10   990      1205     1208   130.01952   118.5500 -11354.82480  -0.088214   
11  -992      1208     1258   118.31290   105.1500  13057.59680   0.111255   

    EntryTime   ExitTime Duration  
0  2019-02-12 2019-05-02  79 days  
1  2019-05-02 2019-11-06 188 days  
2  2019-11-06 2020-02-03  89 days  
3  2020-02-04 2020-03-23  48 days  
4  2020-06-03 2021-04-09 310 days  
5  2021-08-27 2022-02-22 179 days  
6  2022-08-12 2022-08-26  14 days  
7  2022-08-30 2022-11-23  85 days  
8  2022-11-23 2022-12-16  23 days  
9  2022-12-16 2023-01-17  32 days  
10 2023-01-17 2023-01-20   3 days  
11 2023-01-20 2023-04-03  73 days  ",MMM,EMA,
0,2018-04-04,2023-04-03,1825 days,51.628276409849086,60690.80651999999,103254.14832,-39.30919348000001,70.8543558694921,-9.512179161896173,18.515996474883657,0.0,0.0,0.0,-49.15498478831481,-19.906654438776663,1167 days,426 days,11,18.181818181818183,11.585445647452952,-13.178899292360668,-4.440991505531078,309 days,86 days,0.20539502407080473,-4.229873503847068,-2.3795908061737845,"                  Equity  DrawdownPct DrawdownDuration
2018-04-04  100000.00000     0.000000              NaT
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
...                  ...          ...              ...
2023-03-28   62890.04652     0.390920              NaT
2023-03-29   61990.08652     0.399636              NaT
2023-03-30   61715.92652     0.402291              NaT
2023-03-31   60416.64652     0.414874              NaT
2023-04-03   60690.80652     0.412219        1167 days

[1259 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  \
0  -1264       378      406    79.09150     83.660  -5774.58400  -0.057762   
1   1124       406      479    83.82732     77.120  -7539.02768  -0.080014   
2  -1126       479      510    76.96576     87.109 -11421.28824  -0.131789   
3    770       513      561    97.64490     86.400  -8658.57300  -0.115161   
4   -565       791      824   117.76400    118.570   -455.39000  -0.006844   
5    556       824      885   118.80714    117.550   -698.96984  -0.010581   
6   -557       885      898   117.31490    127.000  -5394.60070  -0.082556   
7    471       898      962   127.25400    120.980  -2955.05400  -0.049303   
8   -472       962     1176   120.73804    106.750   6602.35488   0.115854   
9    595      1176     1232   106.96350    101.450  -3280.53250  -0.051546   
10  -596      1232     1258   101.24710    100.800    266.47160   0.004416   

    EntryTime   ExitTime Duration  
0  2019-10-03 2019-11-12  40 days  
1  2019-11-12 2020-02-28 108 days  
2  2020-02-28 2020-04-14  46 days  
3  2020-04-17 2020-06-25  69 days  
4  2021-05-25 2021-07-13  49 days  
5  2021-07-13 2021-10-07  86 days  
6  2021-10-07 2021-10-26  19 days  
7  2021-10-26 2022-01-27  93 days  
8  2022-01-27 2022-12-02 309 days  
9  2022-12-02 2023-02-24  84 days  
10 2023-02-24 2023-04-03  38 days  ",ABT,EMA,
0,2018-04-04,2023-04-03,1825 days,49.80142970611596,169810.83780200008,205605.30358399995,69.81083780200008,28.761128715859368,11.180753330668235,20.50665382106727,0.5452256339930905,0.9554200979939272,0.41752595916471574,-26.778582469545043,-4.955773002952575,412 days,33 days,15,40.0,28.999656103270155,-10.488356391928267,3.5937966431683677,187 days,61 days,2.434807810398239,4.411727695270568,0.9471811840427135,"                   Equity  DrawdownPct DrawdownDuration
2018-04-04  100000.000000     0.000000              NaT
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-28  167703.557802     0.184342              NaT
2023-03-29  168081.277802     0.182505              NaT
2023-03-30  168777.077802     0.179121              NaT
2023-03-31  170168.677802     0.172353              NaT
2023-04-03  169810.837802     0.174093         412 days

[1259 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  ReturnPct  \
0   2064       315      444   48.426660    60.8250  25590.173760   0.256023   
1  -2277       494      496   55.139500    59.5430 -10026.769500  -0.079861   
2   1844       506      558   62.655060    77.0000  26452.069360   0.228951   
3  -1902       657      676   74.650400    82.4800 -14891.899200  -0.104884   
4   1538       676      716   82.644960   102.8375  31056.126520   0.244329   
5  -1695       824      904   93.309407    66.2500  45865.695204   0.289997   
6   2522       959     1056   80.901480    75.9250 -12550.682560  -0.061513   
7  -2527      1056     1073   75.773150    78.1500  -6006.299950  -0.031368   
8   2368      1073     1077   78.306300    75.6500  -6290.118400  -0.033922   
9  -2373      1077     1082   75.498700    79.3500  -9139.134900  -0.051011   
10  2138      1082     1120   79.508700    77.0000  -5363.600600  -0.031553   
11 -2143      1120     1184   76.846000    76.6600    398.598000   0.002420   
12  2149      1184     1220   76.813320    74.6500  -4648.974680  -0.028163   
13 -2153      1220     1227   74.500700    77.4020  -6246.498900  -0.038943   
14  1988      1227     1258   77.556804    85.4100  15612.153648   0.101257   

    EntryTime   ExitTime Duration  
0  2019-07-05 2020-01-08 187 days  
1  2020-03-20 2020-03-24   4 days  
2  2020-04-07 2020-06-22  76 days  
3  2020-11-10 2020-12-08  28 days  
4  2020-12-08 2021-02-05  59 days  
5  2021-07-13 2021-11-03 113 days  
6  2022-01-24 2022-06-13 140 days  
7  2022-06-13 2022-07-08  25 days  
8  2022-07-08 2022-07-14   6 days  
9  2022-07-14 2022-07-21   7 days  
10 2022-07-21 2022-09-14  55 days  
11 2022-09-14 2022-12-14  91 days  
12 2022-12-14 2023-02-07  55 days  
13 2023-02-07 2023-02-16   9 days  
14 2023-02-16 2023-04-03  46 days  ",ATVI,EMA,
0,2018-04-04,2023-04-03,1825 days,60.841938046068314,97311.05533999993,147335.20223999996,-2.6889446600000664,72.60598235420701,-0.5440990352199027,17.87922191518272,0.0,0.0,0.0,-35.86126471929839,-8.329814840485819,812 days,122 days,15,33.33333333333333,25.103173247439827,-10.024078889323018,-0.18213560765826253,302 days,74 days,1.0906873953026428,0.3774042716543609,-0.05524535382340823,"                  Equity  DrawdownPct DrawdownDuration
2018-04-04  100000.00000     0.000000              NaT
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
...                  ...          ...              ...
2023-03-28   97311.05534     0.339526              NaT
2023-03-29   97157.55534     0.340568              NaT
2023-03-30   97108.43534     0.340901              NaT
2023-03-31   97998.73534     0.334859              NaT
2023-04-03   97311.05534     0.339526         293 days

[1259 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  \
0   1331       375      466    75.09990    93.5625  24573.72060   0.245841   
1  -1648       491      510    75.55858    81.6970 -10116.11616  -0.081241   
2   1353       528      615    84.58884    89.8100   7064.22948   0.061724   
3  -1355       615      657    89.63038    98.6150 -12174.16010  -0.100241   
4   1119       659      866    97.69500   107.4800  10949.41500   0.100159   
5  -1121       866      906   107.26504   116.7300 -10610.22016  -0.088239   
6    937       906      976   116.96346   146.3250  27511.76298   0.251032   
7   -923      1053     1071   148.60220   154.6100  -5545.19940  -0.040429   
8    849      1071     1090   154.91922   141.1800 -11664.59778  -0.088686   
9   -851      1090     1150   140.89764   151.0100  -8605.61836  -0.071771   
10   736      1150     1213   151.31202   147.3100  -2945.48672  -0.026449   
11  -737      1213     1239   147.01538   155.5700  -6304.75494  -0.058189   
12   655      1239     1241   155.88114   150.0700  -3806.29670  -0.037279   
13  -656      1241     1248   149.76986   154.5200  -3116.09184  -0.031716   
14   614      1248     1258   154.82904   158.2500   2100.46944   0.022095   

    EntryTime   ExitTime Duration  
0  2019-09-30 2020-02-10 133 days  
1  2020-03-17 2020-04-14  28 days  
2  2020-05-08 2020-09-11 126 days  
3  2020-09-11 2020-11-10  60 days  
4  2020-11-12 2021-09-10 302 days  
5  2021-09-10 2021-11-05  56 days  
6  2021-11-05 2022-02-16 103 days  
7  2022-06-08 2022-07-06  28 days  
8  2022-07-06 2022-08-02  27 days  
9  2022-08-02 2022-10-26  85 days  
10 2022-10-26 2023-01-27  93 days  
11 2023-01-27 2023-03-07  39 days  
12 2023-03-07 2023-03-09   2 days  
13 2023-03-09 2023-03-20  11 days  
14 2023-03-20 2023-04-03  14 days  ",ABBV,EMA,
0,2018-04-04,2023-04-03,1825 days,56.2351072279587,143234.02780474204,265591.5344447421,43.23402780474204,90.59811835301646,7.456831287410104,21.811167057047093,0.34188135224065574,0.5513748037945959,0.1600487561793164,-46.59099805221587,-3.2021874865980786,259 days,16 days,14,35.714285714285715,25.238139662364855,-10.60418844849982,2.600687789907874,195 days,73 days,1.8730774583211218,3.4957526163477923,0.5230600177645869,"                   Equity  DrawdownPct DrawdownDuration
2018-04-04  100000.000000     0.000000              NaT
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-28  148033.107805     0.442629              NaT
2023-03-29  145207.427805     0.453268              NaT
2023-03-30  143651.587805     0.459126              NaT
2023-03-31  141849.787805     0.465910              NaT
2023-04-03  143234.027805     0.460698         259 days

[1259 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice           PnL  ReturnPct  \
0    629       220      354  158.927221  199.037495  25229.362345   0.252381   
1   -675       384      408  185.338580  194.000000  -5846.458500  -0.046733   
2    614       408      481  194.388000  189.770000  -2835.452000  -0.023757   
3   -615       481      492  189.390460  142.162500  29045.195400   0.249368   
4    754       536      601  192.885000  237.612500  33724.535000   0.231887   
5   -809       652      653  221.556000  225.000000  -2786.196000  -0.015545   
6    783       653      755  225.450000  282.137500  44386.312500   0.251442   
7   -655       962     1096  336.854940  315.000000  14314.985700   0.064879   
8    745      1096     1115  315.630000  282.160000 -24935.150000  -0.106042   
9   -746      1115     1170  281.595680  293.080000  -8567.302720  -0.040783   
10   686      1170     1186  293.666160  263.601000 -20624.699760  -0.102379   
11  -686      1189     1217  263.951040  289.420000 -17471.706560  -0.096491   
12   571      1219     1232  286.572000  267.400000 -10947.212000  -0.066901   
13  -572      1232     1258  266.865200  283.390000  -9452.185600  -0.061922   

    EntryTime   ExitTime Duration  
0  2019-02-19 2019-08-29 191 days  
1  2019-10-11 2019-11-14  34 days  
2  2019-11-14 2020-03-03 110 days  
3  2020-03-03 2020-03-18  15 days  
4  2020-05-20 2020-08-21  93 days  
5  2020-11-03 2020-11-04   1 days  
6  2020-11-04 2021-04-05 152 days  
7  2022-01-27 2022-08-10 195 days  
8  2022-08-10 2022-09-07  28 days  
9  2022-09-07 2022-11-23  77 days  
10 2022-11-23 2022-12-16  23 days  
11 2022-12-21 2023-02-02  43 days  
12 2023-02-06 2023-02-24  18 days  
13 2023-02-24 2023-04-03  38 days  ",ACN,EMA,
0,2018-04-04,2023-04-03,1825 days,46.62430500397141,159931.23374,204987.40948,59.93123374,68.88691401910685,9.854804001759776,25.419068141361155,0.3876933625951587,0.6239280539316111,0.38051825348595847,-25.898373892655925,-4.852960171981498,308 days,27 days,17,41.17647058823529,25.77147345860389,-18.509778177043756,2.8014506481536694,156 days,50 days,1.8221685341761342,3.9833661881980937,0.6738352228859761,"                  Equity  DrawdownPct DrawdownDuration
2018-04-04  100000.00000     0.000000              NaT
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
...                  ...          ...              ...
2023-03-28  156797.11374     0.235089              NaT
2023-03-29  159210.55374     0.223315              NaT
2023-03-30  160358.61374     0.217715              NaT
2023-03-31  161812.54374     0.210622              NaT
2023-04-03  159931.23374     0.219800          60 days

[1259 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  \
0    401       210      318   249.05712   309.2250  24127.31988   0.241583   
1   -448       361      407   277.02484   291.8600  -6646.15168  -0.053552   
2    401       407      462   292.44372   364.6500  28954.71828   0.246907   
3   -505       492      512   289.42000   342.9910 -27053.35500  -0.185098   
4    352       518      556   338.67600   419.2125  28348.84800   0.237798   
5   -313       706      717   471.55500   494.2600  -7106.66500  -0.048149   
6    283       717      732   495.24852   473.0300  -6287.84116  -0.044863   
7   -284       732      759   472.08394   498.3700  -7465.24104  -0.055681   
8    254       759      832   499.36674   625.7600  32103.88804   0.253107   
9   -274       886      893   580.13740   636.8560 -15540.89640  -0.097768   
10   223       894      934   640.55856   572.4630 -15185.30988  -0.106307   
11  -233       937      993   549.80818   412.3275  32032.99844   0.250052   
12   359      1097     1107   446.15052   394.5600 -18520.99668  -0.115635   
13  -373      1110     1126   379.16016   281.4450  36447.75468   0.257715   
14   522      1204     1237   340.93050   334.6900  -3257.54100  -0.018304   
15  -523      1237     1249   334.02062   366.8500 -17169.76574  -0.098285   
16   419      1250     1258   375.75000   380.8800   2149.47000   0.013653   

    EntryTime   ExitTime Duration  
0  2019-02-04 2019-07-10 156 days  
1  2019-09-10 2019-11-13  64 days  
2  2019-11-13 2020-02-04  83 days  
3  2020-03-18 2020-04-16  29 days  
4  2020-04-24 2020-06-18  55 days  
5  2021-01-22 2021-02-08  17 days  
6  2021-02-08 2021-03-02  22 days  
7  2021-03-02 2021-04-09  38 days  
8  2021-04-09 2021-07-23 105 days  
9  2021-10-08 2021-10-19  11 days  
10 2021-10-20 2021-12-16  57 days  
11 2021-12-21 2022-03-14  83 days  
12 2022-08-11 2022-08-25  14 days  
13 2022-08-30 2022-09-22  23 days  
14 2023-01-13 2023-03-03  49 days  
15 2023-03-03 2023-03-21  18 days  
16 2023-03-22 2023-04-03  12 days  ",ADBE,EMA,
0,2018-04-04,2023-04-03,1825 days,69.81731532962668,86119.19867999994,142918.21119999996,-13.880801320000058,85.75222755311857,-2.946838680767061,21.81129229205307,0.0,0.0,0.0,-46.615608788140236,-7.809513097012134,460 days,72 days,17,29.411764705882355,26.35820814713632,-10.4668832921619,-0.874317033809946,224 days,75 days,0.9325065946972378,-0.30938017913842203,-0.3096799047033653,"                  Equity  DrawdownPct DrawdownDuration
2018-04-04  100000.00000     0.000000              NaT
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
...                  ...          ...              ...
2023-03-28   87554.72868     0.387379              NaT
2023-03-29   85674.47868     0.400535              NaT
2023-03-30   85808.54868     0.399597              NaT
2023-03-31   84781.76868     0.406781              NaT
2023-04-03   86119.19868     0.397423         460 days

[1259 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  \
0   -744       178      213   134.40066   144.0200  -7156.78896  -0.071572   
1    643       213      368   144.30804   159.2700   9620.54028   0.103681   
2   -644       368      408   158.95146   168.7700  -6323.13976  -0.061771   
3    568       408      479   169.10754   152.0820  -9670.50672  -0.100679   
4   -546       482      492   158.10316   116.4300  22753.54536   0.263582   
5    691       550      581   158.04546   147.5800  -7231.63286  -0.066218   
6   -692       581      638   147.28484   149.9900  -1871.97072  -0.018367   
7    666       638      741   150.28998   187.1125  24523.79832   0.245010   
8   -621       876      886   200.54810   207.9200  -4577.94990  -0.036759   
9    576       886      963   208.33584   196.9400  -6564.00384  -0.054699   
10  -577       963      997   196.54612   216.0620 -11260.66276  -0.099294   
11   447      1007     1035   228.72654   204.7860 -10701.42138  -0.104669   
12  -438      1036     1086   208.85146   228.2280  -8486.92452  -0.092777   
13   352      1087     1140   235.47000   227.2600  -2889.92000  -0.034866   
14  -353      1140     1151   226.80548   235.3300  -3009.15556  -0.037585   
15   327      1151     1200   235.80066   241.1200   1739.42418   0.022559   
16  -327      1200     1258   240.63776   218.5400   7225.96752   0.091830   

    EntryTime   ExitTime Duration  
0  2018-12-17 2019-02-07  52 days  
1  2019-02-07 2019-09-19 224 days  
2  2019-09-19 2019-11-14  56 days  
3  2019-11-14 2020-02-28 106 days  
4  2020-03-04 2020-03-18  14 days  
5  2020-06-10 2020-07-24  44 days  
6  2020-07-24 2020-10-14  82 days  
7  2020-10-14 2021-03-15 152 days  
8  2021-09-24 2021-10-08  14 days  
9  2021-10-08 2022-01-28 112 days  
10 2022-01-28 2022-03-18  49 days  
11 2022-04-01 2022-05-12  41 days  
12 2022-05-13 2022-07-27  75 days  
13 2022-07-28 2022-10-12  76 days  
14 2022-10-12 2022-10-27  15 days  
15 2022-10-27 2023-01-09  74 days  
16 2023-01-09 2023-04-03  84 days  ",ADP,EMA,
0,2018-04-04,2023-04-03,1825 days,55.6791104050834,90573.60740000005,143747.6092,-9.426392599999948,7.171558350803628,-1.9622122955178622,23.263282310752505,0.0,0.0,0.0,-50.234436733852796,-10.595058981771231,603 days,104 days,21,23.809523809523807,25.559346955444017,-15.60335055787274,-0.47160001049129097,135 days,49 days,1.055784786005335,0.2551916632442438,-0.18142753015775054,"                 Equity  DrawdownPct DrawdownDuration
2018-04-04  100000.0000     0.000000              NaT
2018-04-05  100000.0000     0.000000              NaT
2018-04-06  100000.0000     0.000000              NaT
2018-04-09  100000.0000     0.000000              NaT
2018-04-10  100000.0000     0.000000              NaT
...                 ...          ...              ...
2023-03-28   90573.6074     0.369912              NaT
2023-03-29   90573.6074     0.369912              NaT
2023-03-30   90573.6074     0.369912              NaT
2023-03-31   90573.6074     0.369912              NaT
2023-04-03   90573.6074     0.369912         404 days

[1259 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  \
0   -669       184      189   149.42056    163.812  -9627.87336  -0.096315   
1    531       219      229   170.16966    161.920  -4380.56946  -0.048479   
2   -532       229      246   161.59616    167.960  -3385.56288  -0.039381   
3    490       246      278   168.29592    155.130  -6451.30080  -0.078231   
4   -491       278      372   154.81974    159.220  -2160.52766  -0.028422   
5    463       372      424   159.53844    154.240  -2453.17772  -0.033211   
6   -464       424      439   153.93152    159.160  -2426.01472  -0.033966   
7    433       439      445   159.47832    153.780  -2467.37256  -0.035731   
8   -434       445      488   153.47244    114.870  16753.45896   0.251527   
9    613       537      598   135.84114    170.500  21245.88118   0.255143   
10  -696       668      676   150.13912    152.690  -1775.41248  -0.016990   
11   672       676      764   152.99538    192.100  26278.30464   0.255593   
12  -581       977     1022   221.92526    217.730   2437.44606   0.018904   
13   603      1022     1027   218.16546    200.490 -10658.30238  -0.081019   
14  -604      1027     1101   200.08902    207.940  -4741.99192  -0.039237   
15   557      1101     1106   208.35588    182.790 -14240.19516  -0.122703   
16  -594      1109     1152   171.34662    190.949 -11643.81372  -0.114402   
17   489      1159     1161   184.62852    180.800  -1872.14628  -0.020736   
18  -490      1161     1162   180.43840    183.290  -1397.28400  -0.015804   
19   473      1162     1165   183.65658    155.000 -13554.56234  -0.156034   
20  -480      1166     1250   152.79380    117.180  17094.62400   0.233084   

    EntryTime   ExitTime Duration  
0  2018-12-26 2019-01-03   8 days  
1  2019-02-15 2019-03-04  17 days  
2  2019-03-04 2019-03-27  23 days  
3  2019-03-27 2019-05-13  47 days  
4  2019-05-13 2019-09-25 135 days  
5  2019-09-25 2019-12-09  75 days  
6  2019-12-09 2019-12-31  22 days  
7  2019-12-31 2020-01-09   9 days  
8  2020-01-09 2020-03-12  63 days  
9  2020-05-21 2020-08-18  89 days  
10 2020-11-25 2020-12-08  13 days  
11 2020-12-08 2021-04-16 129 days  
12 2022-02-17 2022-04-25  67 days  
13 2022-04-25 2022-05-02   7 days  
14 2022-05-02 2022-08-17 107 days  
15 2022-08-17 2022-08-24   7 days  
16 2022-08-29 2022-10-28  60 days  
17 2022-11-08 2022-11-10   2 days  
18 2022-11-10 2022-11-11   1 days  
19 2022-11-11 2022-11-16   5 days  
20 2022-11-17 2023-03-22 125 days  ",AAP,EMA,
