,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy
0,2018-04-05,2023-03-31,1821 days,54.61031833150384,15988.08806418594,130624.9546993011,-84.01191193581406,313.79881495712596,-30.737667991365647,34.101118385545476,0.0,0.0,0.0,-87.76060513016853,-18.865373588152107,1586 days,201 days,989,43.68048533872599,36.46536937902752,-18.275868615050307,-0.20176811499469371,1 days,1 days,0.8891225526238828,-0.13721810638149107,-1.2326377959479866,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27   15988.088064     0.877603              NaT
2023-03-28   15988.088064     0.877603              NaT
2023-03-29   15988.088064     0.877603              NaT
2023-03-30   15988.088064     0.877603              NaT
2023-03-31   15988.088064     0.877603        1586 days

[1822 rows x 3 columns]","     Size  EntryBar  ExitBar    EntryPrice     ExitPrice          PnL  \
0      11        11       12   8354.245453   8071.660156 -3108.438266   
1      11        12       13   8087.803477   7944.430176 -1577.106308   
2     -12        13       14   7928.541315   8159.270019 -2768.744449   
3      11        14       15   8175.588560   8286.879883  1224.204556   
4      11        15       16   8303.453643   8848.790039  5998.700362   
..    ...       ...      ...           ...           ...          ...   
984    -1      1680     1681  15874.204455  17565.592556 -1691.388101   
985    -1      1684     1685  16265.878577  16588.695993  -322.817416   
986    -1      1691     1692  16225.429010  15759.285766   466.143244   
987    -1      1692     1693  15727.767194  16207.621709  -479.854515   
988    -1      1693     1694  16175.206466  16582.315072  -407.108606   

     ReturnPct  EntryTime   ExitTime Duration  
0    -0.033825 2018-04-16 2018-04-17   1 days  
1    -0.017727 2018-04-17 2018-04-18   1 days  
2    -0.029101 2018-04-18 2018-04-19   1 days  
3     0.013613 2018-04-19 2018-04-20   1 days  
4     0.065676 2018-04-20 2018-04-21   1 days  
..         ...        ...        ...      ...  
984  -0.106549 2022-11-10 2022-11-11   1 days  
985  -0.019846 2022-11-14 2022-11-15   1 days  
986   0.028729 2022-11-21 2022-11-22   1 days  
987  -0.030510 2022-11-22 2022-11-23   1 days  
988  -0.025169 2022-11-23 2022-11-24   1 days  

[989 rows x 10 columns]",BTCUSD,FWMA
0,2018-04-05,2023-03-31,1821 days,99.39626783754116,47.148776175075675,118614.75998156087,-99.95285122382492,-58.75294797131444,-78.44248829545111,38.61918815691989,0.0,0.0,0.0,-99.96025049818218,-56.65065999140189,1730 days,604 days,1811,46.05190502484815,45.58425924676295,-37.21019339116284,-0.42279821066044665,1 days,1 days,0.9030228391608066,-0.22375146446740132,-0.9858064487365813,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27      51.786451     0.999563              NaT
2023-03-28      51.147828     0.999569              NaT
2023-03-29      48.820169     0.999588              NaT
2023-03-30      47.534317     0.999599              NaT
2023-03-31      47.148776     0.999603        1730 days

[1822 rows x 3 columns]","       Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  \
0     33391        11       12    2.994768   3.060770  2203.886806   0.022039   
1     33324        12       13    3.066892   2.836570 -7675.234999  -0.075099   
2    -33391        13       14    2.830897   3.017350 -6225.856798  -0.065864   
3     29206        14       15    3.023385   3.046880   686.203732   0.007771   
4     29148        15       16    3.052974   2.994470 -1705.270511  -0.019163   
...     ...       ...      ...         ...        ...          ...        ...   
1806     47      1817     1818    1.141715   1.078247    -2.982990  -0.055590   
1807    -48      1818     1819    1.076091   1.089955    -0.665496  -0.012884   
1808    -47      1819     1820    1.087775   1.137263    -2.325932  -0.045495   
1809     42      1820     1821    1.139538   1.109133    -1.276990  -0.026681   
1810    -42      1821     1821    1.106915   1.109133    -0.093167  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-16 2018-04-17   1 days  
1    2018-04-17 2018-04-18   1 days  
2    2018-04-18 2018-04-19   1 days  
3    2018-04-19 2018-04-20   1 days  
4    2018-04-20 2018-04-21   1 days  
...         ...        ...      ...  
1806 2023-03-27 2023-03-28   1 days  
1807 2023-03-28 2023-03-29   1 days  
1808 2023-03-29 2023-03-30   1 days  
1809 2023-03-30 2023-03-31   1 days  
1810 2023-03-31 2023-03-31   0 days  

[1811 rows x 10 columns]",XTZUSD,FWMA
0,2018-04-05,2023-03-31,1821 days,99.39626783754116,6371.868854014621,131877.89254467984,-93.62813114598538,49.52027266025875,-42.39507696970644,93.2458024300416,0.0,0.0,0.0,-95.20702311552853,-33.44828617609675,1755 days,452 days,1811,45.33406957482054,41.703936552036524,-42.58957453528416,-0.15258305141476747,1 days,1 days,1.0111071415085056,0.0212044183014819,-0.8629115710703011,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27    6499.879696     0.950713              NaT
2023-03-28    6320.876905     0.952070              NaT
2023-03-29    6462.203477     0.950999              NaT
2023-03-30    6328.983950     0.952009              NaT
2023-03-31    6371.868854     0.951684        1755 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  \
0     5965        11       12   16.762659  16.156900 -3613.348861  -0.036137   
1     5953        12       13   16.189214  16.078100  -661.461647  -0.006863   
2     5941        13       14   16.110256  17.625099  8999.681072   0.094030   
3     5929        14       15   17.660349  18.418501  4495.080253   0.042930   
4     5918        15       16   18.455338  19.697800  7352.888922   0.067323   
...    ...       ...      ...         ...        ...          ...        ...   
1806   330      1817     1818   20.389908  19.678350  -234.814279  -0.034898   
1807  -330      1818     1819   19.638993  20.177937  -177.851421  -0.027443   
1808   312      1819     1820   20.218293  20.667462   140.140767   0.022216   
1809   311      1820     1821   20.708797  20.282112  -132.699011  -0.020604   
1810  -312      1821     1821   20.241548  20.282112   -12.656038  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-16 2018-04-17   1 days  
1    2018-04-17 2018-04-18   1 days  
2    2018-04-18 2018-04-19   1 days  
3    2018-04-19 2018-04-20   1 days  
4    2018-04-20 2018-04-21   1 days  
...         ...        ...      ...  
1806 2023-03-27 2023-03-28   1 days  
1807 2023-03-28 2023-03-29   1 days  
1808 2023-03-29 2023-03-30   1 days  
1809 2023-03-30 2023-03-31   1 days  
1810 2023-03-31 2023-03-31   0 days  

[1811 rows x 10 columns]",ETCUSD,FWMA
0,2018-04-05,2023-03-31,1821 days,99.39626783754116,3108.674220989431,429455.54649083264,-96.89132577901057,62.62308192132754,-50.10941060342409,65.54499104546554,0.0,0.0,0.0,-99.27979678219305,-19.02219531503557,1558 days,120 days,1811,44.89232468249586,40.82504631905321,-24.315827332531015,-0.191548259159513,1 days,1 days,0.9688170571491711,-0.055711282131464965,-0.23938172058520085,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27    3130.802908     0.992710              NaT
2023-03-28    3094.093860     0.992795              NaT
2023-03-29    3092.952665     0.992798              NaT
2023-03-30    3110.089627     0.992758              NaT
2023-03-31    3108.674221     0.992761        1558 days

[1822 rows x 3 columns]","         Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  \
0     2326458        11       12    0.042984   0.041275  -3975.442125   
1     2321814        12       13    0.041358   0.042006   1505.580288   
2     2317180        13       14    0.042090   0.047429  12371.396214   
3     2312554        14       15    0.047524   0.049134   3723.540323   
4     2307939        15       16    0.049232   0.053659  10216.627425   
...       ...       ...      ...         ...        ...           ...   
1806    49226      1817     1818    0.064329   0.063607    -35.560961   
1807   -49325      1818     1819    0.063480   0.064241    -37.546881   
1808    48060      1819     1820    0.064369   0.064356     -0.647945   
1809    47964      1820     1821    0.064485   0.064859     17.952350   
1810    47868      1821     1821    0.064989   0.064859     -6.209341   

      ReturnPct  EntryTime   ExitTime Duration  
0     -0.039754 2018-04-16 2018-04-17   1 days  
1      0.015679 2018-04-17 2018-04-18   1 days  
2      0.126847 2018-04-18 2018-04-19   1 days  
3      0.033881 2018-04-19 2018-04-20   1 days  
4      0.089915 2018-04-20 2018-04-21   1 days  
...         ...        ...        ...      ...  
1806  -0.011230 2023-03-27 2023-03-28   1 days  
1807  -0.011991 2023-03-28 2023-03-29   1 days  
1808  -0.000209 2023-03-29 2023-03-30   1 days  
1809   0.005804 2023-03-30 2023-03-31   1 days  
1810  -0.001996 2023-03-31 2023-03-31   0 days  

[1811 rows x 10 columns]",TRXUSD,FWMA
0,2018-04-05,2023-03-31,1821 days,99.39626783754116,2644.7000762138487,175315.39964449688,-97.35529992378615,371.041405059138,-51.699040204044856,52.13735050198369,0.0,0.0,0.0,-98.5008818346413,-28.88297328027975,1558 days,226 days,1811,44.505797901711766,42.01681654840288,-26.401082813026978,-0.21956671600574795,1 days,1 days,0.9405241161691574,-0.10377067601826419,-0.7236491545570042,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27    2689.412373     0.984660              NaT
2023-03-28    2628.185003     0.985009              NaT
2023-03-29    2643.956051     0.984919              NaT
2023-03-30    2641.061513     0.984935              NaT
2023-03-31    2644.700076     0.984915        1558 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar   EntryPrice    ExitPrice          PnL  \
0      187        11       12   533.138123   511.144989 -4112.715974   
1      187        12       13   512.167279   503.308990 -1656.499945   
2     -187        13       14   502.302373   524.038025 -4064.566995   
3      171        14       15   525.086101   567.989014  7336.398080   
4      171        15       16   569.124992   616.004028  8016.315254   
...    ...       ...      ...          ...          ...          ...   
1806     1      1817     1818  1779.245142  1716.474998   -62.770144   
1807    -1      1818     1819  1713.042048  1774.284632   -61.242584   
1808     1      1819     1820  1777.833201  1793.747922    15.914721   
1809     1      1820     1821  1797.335418  1794.424855    -2.910563   
1810     1      1821     1821  1798.013705  1794.424855    -3.588850   

      ReturnPct  EntryTime   ExitTime Duration  
0     -0.041252 2018-04-16 2018-04-17   1 days  
1     -0.017296 2018-04-17 2018-04-18   1 days  
2     -0.043272 2018-04-18 2018-04-19   1 days  
3      0.081706 2018-04-19 2018-04-20   1 days  
4      0.082370 2018-04-20 2018-04-21   1 days  
...         ...        ...        ...      ...  
1806  -0.035279 2023-03-27 2023-03-28   1 days  
1807  -0.035751 2023-03-28 2023-03-29   1 days  
1808   0.008952 2023-03-29 2023-03-30   1 days  
1809  -0.001619 2023-03-30 2023-03-31   1 days  
1810  -0.001996 2023-03-31 2023-03-31   0 days  

[1811 rows x 10 columns]",ETHUSD,FWMA
0,2018-04-05,2023-03-31,1821 days,99.39626783754116,9181.505419943698,304371.54138836195,-90.8184945800563,-43.4500353642518,-38.02147195681195,88.60928970591637,0.0,0.0,0.0,-97.51898832864522,-24.79209835046568,814 days,121 days,1811,46.27277747101049,75.92402252632165,-27.67193764477822,-0.13447920208645714,1 days,1 days,1.0063987723357337,0.011636018885793992,-0.25924323539216826,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27    7671.317797     0.974796              NaT
2023-03-28    8083.807724     0.973441              NaT
2023-03-29    8393.948656     0.972422              NaT
2023-03-30    8763.759416     0.971207              NaT
2023-03-31    9181.505420     0.969835         814 days

[1822 rows x 3 columns]","        Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  \
0     343858        11       12    0.290817   0.284747  -2087.381049   
1     343171        12       13    0.285316   0.300338   5154.945236   
2     342486        13       14    0.300939   0.354726  18421.405447   
3     341803        14       15    0.355435   0.366551   3799.327653   
4     341120        15       16    0.367284   0.391513   8264.961686   
...      ...       ...      ...         ...        ...           ...   
1806   82848      1817     1818    0.092108   0.092636     43.756337   
1807   82683      1818     1819    0.092821   0.097777    409.754458   
1808   82518      1819     1820    0.097973   0.101726    309.726857   
1809   82353      1820     1821    0.101929   0.106362    365.033625   
1810   82189      1821     1821    0.106575   0.106362    -17.483573   

      ReturnPct  EntryTime   ExitTime Duration  
0     -0.020874 2018-04-16 2018-04-17   1 days  
1      0.052649 2018-04-17 2018-04-18   1 days  
2      0.178732 2018-04-18 2018-04-19   1 days  
3      0.031273 2018-04-19 2018-04-20   1 days  
4      0.065968 2018-04-20 2018-04-21   1 days  
...         ...        ...        ...      ...  
1806   0.005734 2023-03-27 2023-03-28   1 days  
1807   0.053390 2023-03-28 2023-03-29   1 days  
1808   0.038311 2023-03-29 2023-03-30   1 days  
1809   0.043486 2023-03-30 2023-03-31   1 days  
1810  -0.001996 2023-03-31 2023-03-31   0 days  

[1811 rows x 10 columns]",XLMUSD,FWMA
0,2018-04-05,2023-03-31,1821 days,99.39626783754116,718.5611156817719,149029.99900538346,-99.28143888431823,-24.41487648529008,-62.79623797027599,45.88332754186063,0.0,0.0,0.0,-99.54998025853871,-19.104171537295688,1690 days,201 days,1811,45.44450579790171,36.44358445521597,-29.83534742735845,-0.27510434413987594,1 days,1 days,0.9214101022328491,-0.14587361742927912,-1.0700881161892286,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27     750.587965     0.994964              NaT
2023-03-28     750.267080     0.994966              NaT
2023-03-29     731.617898     0.995091              NaT
2023-03-30     714.635168     0.995205              NaT
2023-03-31     718.561116     0.995178        1690 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  \
0      756        11       12  132.231938  128.710007 -2662.580293  -0.026635   
1      754        12       13  128.967427  132.376999  2570.817429   0.026437   
2      753        13       14  132.641753  140.041000  5571.633369   0.055784   
3      751        14       15  140.321082  146.501007  4641.123449   0.044041   
4      750        15       16  146.794009  155.684998  6668.241364   0.060568   
...    ...       ...      ...         ...         ...          ...        ...   
1806     8      1817     1818   93.599175   89.307297   -34.335022  -0.045854   
1807    -8      1818     1819   89.128682   89.191892    -0.505677  -0.000709   
1808    -8      1819     1820   89.013508   91.340789   -18.618246  -0.026145   
1809     7      1820     1821   91.523471   89.111243   -16.885593  -0.026356   
1810    -8      1821     1821   88.933021   89.111243    -1.425780  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-16 2018-04-17   1 days  
1    2018-04-17 2018-04-18   1 days  
2    2018-04-18 2018-04-19   1 days  
3    2018-04-19 2018-04-20   1 days  
4    2018-04-20 2018-04-21   1 days  
...         ...        ...      ...  
1806 2023-03-27 2023-03-28   1 days  
1807 2023-03-28 2023-03-29   1 days  
1808 2023-03-29 2023-03-30   1 days  
1809 2023-03-30 2023-03-31   1 days  
1810 2023-03-31 2023-03-31   0 days  

[1811 rows x 10 columns]",LTCUSD,FWMA
0,2018-04-05,2023-03-31,1821 days,99.39626783754116,7755.419669576066,953601.6010435766,-92.24458033042394,-81.07725481068195,-40.08226354802329,92.87716357367218,0.0,0.0,0.0,-99.19008728315032,-19.640189003716863,1555 days,120 days,1811,44.947542794036444,50.53390800517086,-53.10978480936084,-0.14252976873768697,1 days,1 days,1.0157486728470062,0.029304155659491602,-0.1497624702868338,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27    8235.360464     0.991364              NaT
2023-03-28    8185.557055     0.991416              NaT
2023-03-29    8010.540498     0.991600              NaT
2023-03-30    7853.851626     0.991764              NaT
2023-03-31    7755.419670     0.991867        1555 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice    ExitPrice           PnL  \
0      127        11       12  782.683214   766.697998  -2030.122387   
1      127        12       13  768.231394   758.250000  -1267.637037   
2      127        13       14  759.766500   890.661987  16623.726887   
3      126        14       15  892.443311   970.146973   9790.661340   
4      126        15       16  972.087267  1126.859985  19501.362563   
...    ...       ...      ...         ...          ...           ...   
1806   -64      1817     1818  124.576554   120.510948    260.198758   
1807   -68      1818     1819  120.269926   121.012397    -50.488021   
1808   -67      1819     1820  120.770372   123.349456   -172.798614   
1809    64      1820     1821  123.596155   121.170831   -155.220730   
1810   -64      1821     1821  120.928489   121.170831    -15.509866   

      ReturnPct  EntryTime   ExitTime Duration  
0     -0.020424 2018-04-16 2018-04-17   1 days  
1     -0.012993 2018-04-17 2018-04-18   1 days  
2      0.172284 2018-04-18 2018-04-19   1 days  
3      0.087068 2018-04-19 2018-04-20   1 days  
4      0.159217 2018-04-20 2018-04-21   1 days  
...         ...        ...        ...      ...  
1806   0.032635 2023-03-27 2023-03-28   1 days  
1807  -0.006173 2023-03-28 2023-03-29   1 days  
1808  -0.021355 2023-03-29 2023-03-30   1 days  
1809  -0.019623 2023-03-30 2023-03-31   1 days  
1810  -0.002004 2023-03-31 2023-03-31   0 days  

[1811 rows x 10 columns]",BCHUSD,FWMA
0,2018-04-05,2023-03-31,1821 days,99.39626783754116,164.7256954218354,287598.5405556837,-99.83527430457816,-81.40466341317104,-72.30280899981688,44.57892055247179,0.0,0.0,0.0,-99.94424687185963,-20.285819748857246,1688 days,226 days,1811,44.505797901711766,40.250472064156384,-56.71275740424131,-0.3533942210225183,1 days,1 days,0.9153673873542577,-0.17222319807103345,-0.5083963621368679,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27     170.714169     0.999406              NaT
2023-03-28     165.989301     0.999423              NaT
2023-03-29     160.345183     0.999442              NaT
2023-03-30     165.387233     0.999425              NaT
2023-03-31     164.725695     0.999427        1688 days

[1822 rows x 3 columns]","       Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  \
0     11898        11       12    8.404736   8.131360  -3252.630275   
1    -11921        12       13    8.115097   8.487410  -4438.333977   
2     10854        13       14    8.504384   9.018951   5585.100241   
3     10832        14       15    9.036988   9.512870   5154.747314   
4     10810        15       16    9.531896  11.580700  22147.575136   
...     ...       ...      ...         ...        ...           ...   
1806    157      1817     1818    1.143521   1.085851     -9.054265   
1807   -157      1818     1819    1.083679   1.114836     -4.891602   
1808   -149      1819     1820    1.112606   1.150450     -5.638707   
1809    138      1820     1821    1.152751   1.190687      5.235182   
1810    138      1821     1821    1.193068   1.190687     -0.328630   

      ReturnPct  EntryTime   ExitTime Duration  
0     -0.032526 2018-04-16 2018-04-17   1 days  
1     -0.045879 2018-04-17 2018-04-18   1 days  
2      0.060506 2018-04-18 2018-04-19   1 days  
3      0.052659 2018-04-19 2018-04-20   1 days  
4      0.214942 2018-04-20 2018-04-21   1 days  
...         ...        ...        ...      ...  
1806  -0.050432 2023-03-27 2023-03-28   1 days  
1807  -0.028751 2023-03-28 2023-03-29   1 days  
1808  -0.034014 2023-03-29 2023-03-30   1 days  
1809   0.032909 2023-03-30 2023-03-31   1 days  
1810  -0.001996 2023-03-31 2023-03-31   0 days  

[1811 rows x 10 columns]",EOSUSD,FWMA
0,2018-04-05,2023-03-31,1821 days,99.39626783754116,3487.501004025144,156158.6600526565,-96.51249899597485,-79.29861249343946,-48.946807384093084,76.38982423794509,0.0,0.0,0.0,-97.8492422579096,-22.098561882247918,1558 days,201 days,1811,46.880176697956934,42.42284226722774,-30.584387814299152,-0.1860012948844858,1 days,1 days,0.9879603395560929,-0.024646728973757984,-0.7757395789085098,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27    3405.585454     0.978192              NaT
2023-03-28    3358.594471     0.978492              NaT
2023-03-29    3414.679984     0.978133              NaT
2023-03-30    3465.561616     0.977807              NaT
2023-03-31    3487.501004     0.977667        1558 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice   ExitPrice           PnL  \
0      429        11       12  232.896871  225.563995  -3145.803552   
1      428        12       13  226.015123  221.880005  -1769.830714   
2     -429        13       14  221.436245  247.955994 -11376.972239   
3      336        14       15  248.451906  263.130005   4931.841335   
4      336        15       16  263.656265  281.800995   6096.629277   
...    ...       ...      ...         ...         ...           ...   
1806    94      1817     1818   36.318808   35.922099    -37.290611   
1807   -95      1818     1819   35.850255   36.426508    -54.744054   
1808    91      1819     1820   36.499361   37.182091     62.128429   
1809    91      1820     1821   37.256455   37.872206     56.033324   
1810    91      1821     1821   37.947950   37.872206     -6.892741   

      ReturnPct  EntryTime   ExitTime Duration  
0     -0.031486 2018-04-16 2018-04-17   1 days  
1     -0.018296 2018-04-17 2018-04-18   1 days  
2     -0.119762 2018-04-18 2018-04-19   1 days  
3      0.059078 2018-04-19 2018-04-20   1 days  
4      0.068820 2018-04-20 2018-04-21   1 days  
...         ...        ...        ...      ...  
1806  -0.010923 2023-03-27 2023-03-28   1 days  
1807  -0.016074 2023-03-28 2023-03-29   1 days  
1808   0.018705 2023-03-29 2023-03-30   1 days  
1809   0.016527 2023-03-30 2023-03-31   1 days  
1810  -0.001996 2023-03-31 2023-03-31   0 days  

[1811 rows x 10 columns]",ZECUSD,FWMA
