,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy
0,2018-04-05,2023-03-31,1821 days,87.6509330406147,69.6590465658607,137714.35217403178,-99.93034095343414,-24.41487648529008,-76.6892701677196,23.685306105607733,0.0,0.0,0.0,-99.95535447207553,-26.734137346255178,1752 days,358 days,1579,46.80177327422419,36.44358445521597,-36.13391292869256,-0.5111315650629278,1 days,1 days,0.8113002611230407,-0.37520386474956197,-1.8877803385423615,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27      69.659047     0.999494              NaT
2023-03-28      69.659047     0.999494              NaT
2023-03-29      69.659047     0.999494              NaT
2023-03-30      69.659047     0.999494              NaT
2023-03-31      69.659047     0.999494        1752 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  \
0      560        31       32  178.377038  171.759003 -3706.099820  -0.037101   
1     -561        32       33  171.415485  164.830002  3694.455904   0.038418   
2     -607        33       34  164.500342  159.617004  2964.185800   0.029686   
3     -646        34       35  159.297770  157.151001  1386.813027   0.013476   
4     -665        35       36  156.836699  149.445007  4915.474979   0.047130   
...    ...       ...      ...         ...         ...          ...        ...   
1574     1      1727     1728   70.907571   68.661276    -2.246295  -0.031679   
1575     1      1728     1729   68.798599   66.291635    -2.506964  -0.036439   
1576     1      1729     1730   66.424218   66.634120     0.209902   0.003160   
1577     1      1730     1731   66.767388   67.912161     1.144773   0.017146   
1578    -1      1731     1732   67.776337   70.109303    -2.332966  -0.034422   

      EntryTime   ExitTime Duration  
0    2018-05-06 2018-05-07   1 days  
1    2018-05-07 2018-05-08   1 days  
2    2018-05-08 2018-05-09   1 days  
3    2018-05-09 2018-05-10   1 days  
4    2018-05-10 2018-05-11   1 days  
...         ...        ...      ...  
1574 2022-12-27 2022-12-28   1 days  
1575 2022-12-28 2022-12-29   1 days  
1576 2022-12-29 2022-12-30   1 days  
1577 2022-12-30 2022-12-31   1 days  
1578 2022-12-31 2023-01-01   1 days  

[1579 rows x 10 columns]",LTCUSD,MAD
0,2018-04-05,2023-03-31,1821 days,98.29857299670691,323.1975014634047,155523.8719785853,-99.67680249853659,-58.75294797131444,-68.29896470275303,55.82525024570434,0.0,0.0,0.0,-99.80066726173324,-37.77965950059909,1698 days,358 days,1791,48.29704075935231,36.9585308396244,-45.80148775276389,-0.31951977152983035,1 days,1 days,0.9468975557058367,-0.1193773663108534,-0.8556561887889828,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27     331.077594     0.997871              NaT
2023-03-28     333.841679     0.997853              NaT
2023-03-29     318.709395     0.997951              NaT
2023-03-30     326.008007     0.997904              NaT
2023-03-31     323.197501     0.997922        1698 days

[1822 rows x 3 columns]","       Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  \
0     24515        31       32    4.078992   4.028370 -1240.990971  -0.012410   
1     24466        32       33    4.036427   3.854390 -4453.710876  -0.045098   
2    -24516        33       34    3.846681   3.803940  1047.838851   0.011111   
3    -25117        34       35    3.796332   3.896590 -2518.174665  -0.026409   
4    -23872        35       36    3.888797   3.848200   969.124900   0.010439   
...     ...       ...      ...         ...        ...          ...        ...   
1786   -276      1817     1818    1.137157   1.078247    16.259195   0.051805   
1787    306      1818     1819    1.080403   1.089955     2.922761   0.008841   
1788   -306      1819     1820    1.087775   1.137263   -15.143300  -0.045495   
1789   -280      1820     1821    1.134988   1.109133     7.239533   0.022780   
1790    293      1821     1821    1.111351   1.109133    -0.649952  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-05-06 2018-05-07   1 days  
1    2018-05-07 2018-05-08   1 days  
2    2018-05-08 2018-05-09   1 days  
3    2018-05-09 2018-05-10   1 days  
4    2018-05-10 2018-05-11   1 days  
...         ...        ...      ...  
1786 2023-03-27 2023-03-28   1 days  
1787 2023-03-28 2023-03-29   1 days  
1788 2023-03-29 2023-03-30   1 days  
1789 2023-03-30 2023-03-31   1 days  
1790 2023-03-31 2023-03-31   0 days  

[1791 rows x 10 columns]",XTZUSD,MAD
0,2018-04-05,2023-03-31,1821 days,98.29857299670691,2971.1693948456673,125341.60819283417,-97.02883060515434,-81.20870457128323,-50.55952840672562,73.0794203019537,0.0,0.0,0.0,-98.204479142234,-49.13692286656033,1785 days,894 days,1791,49.46957007258515,56.62117863464824,-37.596483406430835,-0.19694683500067756,1 days,1 days,0.9807353763284072,-0.03650305470517359,-1.8523831800414827,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27    3035.497043     0.975782              NaT
2023-03-28    3007.860201     0.976003              NaT
2023-03-29    2919.609484     0.976707              NaT
2023-03-30    2990.056928     0.976145              NaT
2023-03-31    2971.169395     0.976295        1785 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  \
0     -198        31       32  505.046873  485.739014  3822.956046   0.038230   
1     -214        32       33  484.767536  458.760986  5565.401566   0.053647   
2     -238        33       34  457.843464  443.127991  3502.282723   0.032141   
3     -255        34       35  442.241735  443.148010  -231.100273  -0.002049   
4     -254        35       36  442.261714  421.613007  5244.771751   0.046689   
...    ...       ...      ...         ...         ...          ...        ...   
1786   -49      1817     1818   59.033024   56.113630   143.050323   0.049454   
1787   -54      1818     1819   56.001403   56.545974   -29.406848  -0.009724   
1788   -53      1819     1820   56.432882   58.073220   -86.937911  -0.029067   
1789   -50      1820     1821   57.957074   56.546976    70.504878   0.024330   
1790   -52      1821     1821   56.433882   56.546976    -5.880886  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-06 2018-05-07   1 days  
1    2018-05-07 2018-05-08   1 days  
2    2018-05-08 2018-05-09   1 days  
3    2018-05-09 2018-05-10   1 days  
4    2018-05-10 2018-05-11   1 days  
...         ...        ...      ...  
1786 2023-03-27 2023-03-28   1 days  
1787 2023-03-28 2023-03-29   1 days  
1788 2023-03-29 2023-03-30   1 days  
1789 2023-03-30 2023-03-31   1 days  
1790 2023-03-31 2023-03-31   0 days  

[1791 rows x 10 columns]",DASHUSD,MAD
0,2018-04-05,2023-03-31,1821 days,98.29857299670691,1178.0088539720116,116232.98415661999,-98.82199114602798,62.62308192132754,-58.92339669573714,52.88219363621132,0.0,0.0,0.0,-99.36420123234707,-52.27885238354153,1785 days,895 days,1791,47.571189279731996,39.78217152427985,-41.06127367905699,-0.24737951083417808,1 days,1 days,0.9386943256335549,-0.11017261670048567,-1.533340017289699,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27    1193.391258     0.989733              NaT
2023-03-28    1202.825421     0.989652              NaT
2023-03-29    1198.443984     0.989689              NaT
2023-03-30    1186.974073     0.989788              NaT
2023-03-31    1178.008854     0.989865        1785 days

[1822 rows x 3 columns]","         Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  \
0     1145840        31       32    0.087272   0.084966 -2642.531625   
1     1143553        32       33    0.085136   0.083405 -1979.412481   
2     1141270        33       34    0.083572   0.082979  -676.556269   
3    -1143557        34       35    0.082813   0.081007  2065.311971   
4    -1196942        35       36    0.080845   0.073601  8670.631091   
...       ...       ...      ...         ...        ...          ...   
1786    18764      1817     1818    0.064329   0.063607   -13.555151   
1787    18726      1818     1819    0.063734   0.064241     9.490075   
1788   -18764      1819     1820    0.064113   0.064356    -4.568696   
1789   -18659      1820     1821    0.064227   0.064859   -11.787114   
1790   -18332      1821     1821    0.064729   0.064859    -2.377990   

      ReturnPct  EntryTime   ExitTime Duration  
0     -0.026425 2018-05-06 2018-05-07   1 days  
1     -0.020331 2018-05-07 2018-05-08   1 days  
2     -0.007093 2018-05-08 2018-05-09   1 days  
3      0.021809 2018-05-09 2018-05-10   1 days  
4      0.089603 2018-05-10 2018-05-11   1 days  
...         ...        ...        ...      ...  
1786  -0.011230 2023-03-27 2023-03-28   1 days  
1787   0.007952 2023-03-28 2023-03-29   1 days  
1788  -0.003798 2023-03-29 2023-03-30   1 days  
1789  -0.009836 2023-03-30 2023-03-31   1 days  
1790  -0.002004 2023-03-31 2023-03-31   0 days  

[1791 rows x 10 columns]",TRXUSD,MAD
0,2018-04-05,2023-03-31,1821 days,98.29857299670691,360.82022175461736,125037.7160192176,-99.63917977824538,-79.29861249343946,-67.59188516531817,46.480131430325336,0.0,0.0,0.0,-99.73873483047593,-50.10368020130925,1785 days,894 days,1791,49.134561697375766,30.063092852964623,-42.6526912002927,-0.31984368965918275,1 days,1 days,0.9274614011900997,-0.15242790211238783,-1.7357139756207496,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27     387.075627     0.996904              NaT
2023-03-28     381.918045     0.996946              NaT
2023-03-29     372.844305     0.997018              NaT
2023-03-30     365.765633     0.997075              NaT
2023-03-31     360.820222     0.997114        1785 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  \
0     -326        31       32  306.024724  291.441010  4754.291090   0.047655   
1     -360        32       33  290.858127  281.346985  3424.011329   0.032700   
2     -385        33       34  280.784291  275.346008  2093.738813   0.019368   
3     -401        34       35  274.795316  276.502014  -684.385865  -0.006211   
4     -397        35       36  275.949010  263.639008  4887.071021   0.044610   
...    ...       ...      ...         ...         ...          ...        ...   
1786   -10      1817     1818   36.173822   35.922099     2.517234   0.006959   
1787   -10      1818     1819   35.850255   36.426508    -5.762532  -0.016074   
1788   -10      1819     1820   36.353655   37.182091    -8.284360  -0.022788   
1789   -10      1820     1821   37.107727   37.872206    -7.644792  -0.020602   
1790    -9      1821     1821   37.796462   37.872206    -0.681700  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-06 2018-05-07   1 days  
1    2018-05-07 2018-05-08   1 days  
2    2018-05-08 2018-05-09   1 days  
3    2018-05-09 2018-05-10   1 days  
4    2018-05-10 2018-05-11   1 days  
...         ...        ...      ...  
1786 2023-03-27 2023-03-28   1 days  
1787 2023-03-28 2023-03-29   1 days  
1788 2023-03-29 2023-03-30   1 days  
1789 2023-03-30 2023-03-31   1 days  
1790 2023-03-31 2023-03-31   0 days  

[1791 rows x 10 columns]",ZECUSD,MAD
0,2018-04-05,2023-03-31,1821 days,68.88035126234907,16477.46410381775,190352.6170509423,-83.52253589618225,313.79881495712596,-30.31806690670107,41.3067400494125,0.0,0.0,0.0,-91.34372525101242,-11.57424347106524,1687 days,137 days,1232,47.97077922077922,17.803709458902418,-36.719000638991474,-0.16080530718690644,1 days,1 days,0.9304906943931932,-0.08846854822544689,-0.7119450212352871,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27   16477.464104     0.913437              NaT
2023-03-28   16477.464104     0.913437              NaT
2023-03-29   16477.464104     0.913437              NaT
2023-03-30   16477.464104     0.913437              NaT
2023-03-31   16477.464104     0.913437        1687 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar    EntryPrice     ExitPrice          PnL  \
0      -10        31       32   9825.618951   9645.669922  1799.490293   
1      -10        32       33   9626.378582   9380.870117  2455.084649   
2      -11        33       34   9362.108377   9223.730469  1522.156990   
3      -11        34       35   9205.283008   9325.959961 -1327.446483   
4      -11        35       36   9307.308041   9052.959961  2797.828881   
...    ...       ...      ...           ...           ...          ...   
1227    -1      1730     1731  16595.262619  16600.705973    -5.443354   
1228     1      1731     1732  16633.907385  16534.758509   -99.148876   
1229     1      1732     1733  16567.828026  16610.892884    43.064858   
1230     1      1733     1734  16644.114670  16666.425771    22.311101   
1231    -1      1735     1736  16637.151574  16845.343463  -208.191889   

      ReturnPct  EntryTime   ExitTime Duration  
0      0.018314 2018-05-06 2018-05-07   1 days  
1      0.025504 2018-05-07 2018-05-08   1 days  
2      0.014781 2018-05-08 2018-05-09   1 days  
3     -0.013110 2018-05-09 2018-05-10   1 days  
4      0.027328 2018-05-10 2018-05-11   1 days  
...         ...        ...        ...      ...  
1227  -0.000328 2022-12-30 2022-12-31   1 days  
1228  -0.005961 2022-12-31 2023-01-01   1 days  
1229   0.002599 2023-01-01 2023-01-02   1 days  
1230   0.001340 2023-01-02 2023-01-03   1 days  
1231  -0.012514 2023-01-04 2023-01-05   1 days  

[1232 rows x 10 columns]",BTCUSD,MAD
0,2018-04-05,2023-03-31,1821 days,98.29857299670691,10.913316773338959,175722.07717005478,-99.98908668322666,-81.40466341317104,-83.9199787646545,24.728170836549303,0.0,0.0,0.0,-99.99423755303238,-24.048343744302255,1772 days,357 days,1791,46.28699050809604,56.08715757428422,-39.06458203527299,-0.5117049043740551,1 days,1 days,0.837334840289137,-0.3397429670538669,-1.1181617101839125,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27      10.794805     0.999939              NaT
2023-03-28      11.026567     0.999937              NaT
2023-03-29      11.326873     0.999936              NaT
2023-03-30      10.955903     0.999938              NaT
2023-03-31      10.913317     0.999938        1772 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  \
0     5625        31       32   17.776883  17.670000  -601.214060  -0.006012   
1     5614        32       33   17.705340  17.983400  1561.029962   0.015705   
2    -5625        33       34   17.947433  18.116899  -953.246253  -0.009442   
3    -5531        34       35   18.080666  17.967300   627.023480   0.006270   
4    -5612        35       36   17.931366  17.458201  2655.403659   0.026388   
...    ...       ...      ...         ...        ...          ...        ...   
1786    -9      1817     1818    1.138957   1.085851     0.477950   0.046626   
1787     9      1818     1819    1.088023   1.114836     0.241320   0.024644   
1788     9      1819     1820    1.117066   1.150450     0.300459   0.029886   
1789    -9      1820     1821    1.148149   1.190687    -0.382841  -0.037049   
1790     9      1821     1821    1.193068   1.190687    -0.021432  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-05-06 2018-05-07   1 days  
1    2018-05-07 2018-05-08   1 days  
2    2018-05-08 2018-05-09   1 days  
3    2018-05-09 2018-05-10   1 days  
4    2018-05-10 2018-05-11   1 days  
...         ...        ...      ...  
1786 2023-03-27 2023-03-28   1 days  
1787 2023-03-28 2023-03-29   1 days  
1788 2023-03-29 2023-03-30   1 days  
1789 2023-03-30 2023-03-31   1 days  
1790 2023-03-31 2023-03-31   0 days  

[1791 rows x 10 columns]",EOSUSD,MAD
0,2018-04-05,2023-03-31,1821 days,98.29857299670691,22359.69006382861,108086.5741378544,-77.64030993617139,49.52027266025875,-25.92376010921671,118.62267931395438,0.0,0.0,0.0,-96.86980555998467,-40.601928598857825,1779 days,597 days,1791,47.96203238414294,41.703936552036524,-42.58957453528416,-0.08282909069526889,1 days,1 days,1.0494879166077862,0.09218216022102795,-1.149440903386308,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27   23572.673638     0.781909              NaT
2023-03-28   22939.076120     0.787771              NaT
2023-03-29   22322.232879     0.793478              NaT
2023-03-30   22696.687600     0.790014              NaT
2023-03-31   22359.690064     0.793132        1779 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  ReturnPct  \
0    -4406        31       32   22.693722  25.454599 -12164.424948  -0.121658   
1     3443        32       33   25.505509  23.649599  -6389.896404  -0.072765   
2    -3450        33       34   23.602300  22.427000   4054.784661   0.049796   
3    -3820        34       35   22.382146  21.514799   3313.265158   0.038752   
4    -4136        35       36   21.471770  19.776699   7010.811182   0.078944   
...    ...       ...      ...         ...        ...           ...        ...   
1786 -1126      1817     1818   20.308512  19.678350    709.561939   0.031029   
1787 -1200      1818     1819   19.638993  20.177937   -646.732440  -0.027443   
1788 -1138      1819     1820   20.137581  20.667462   -603.004435  -0.026313   
1789 -1082      1820     1821   20.626127  20.282112    372.224312   0.016679   
1790 -1121      1821     1821   20.241548  20.282112    -45.472495  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-06 2018-05-07   1 days  
1    2018-05-07 2018-05-08   1 days  
2    2018-05-08 2018-05-09   1 days  
3    2018-05-09 2018-05-10   1 days  
4    2018-05-10 2018-05-11   1 days  
...         ...        ...      ...  
1786 2023-03-27 2023-03-28   1 days  
1787 2023-03-28 2023-03-29   1 days  
1788 2023-03-29 2023-03-30   1 days  
1789 2023-03-30 2023-03-31   1 days  
1790 2023-03-31 2023-03-31   0 days  

[1791 rows x 10 columns]",ETCUSD,MAD
0,2018-04-05,2023-03-31,1821 days,98.29857299670691,1202.1931647807112,300854.09318470984,-98.79780683521929,8.98324126010235,-58.75582981832188,61.95835527546891,0.0,0.0,0.0,-99.84173487797143,-20.223381026692984,1632 days,179 days,1791,47.62702400893355,42.0419709243429,-55.486907354077,-0.2473470938618716,1 days,1 days,0.9557695032885666,-0.07933645424759272,-0.6545707386073245,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27    1076.850250     0.996421              NaT
2023-03-28    1153.393477     0.996166              NaT
2023-03-29    1214.418005     0.995963              NaT
2023-03-30    1188.036903     0.996051              NaT
2023-03-31    1202.193165     0.996004        1632 days

[1822 rows x 3 columns]","        Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  \
0    -110812        31       32    0.902427   0.871214  3458.722874   
1    -118990        32       33    0.869472   0.833086  4329.519212   
2    -129643        33       34    0.831420   0.813393  2337.052062   
3    -135661        34       35    0.811766   0.803212  1160.473225   
4    -138828        35       36    0.801606   0.756578  6251.088321   
...      ...       ...      ...         ...        ...          ...   
1786    2247      1817     1818    0.448951   0.478999    67.517609   
1787    2242      1818     1819    0.479957   0.514303    77.003736   
1788    2238      1819     1820    0.515332   0.542370    60.511926   
1789    2233      1820     1821    0.543455   0.531772   -26.087558   
1790    2229      1821     1821    0.532836   0.531772    -2.370640   

      ReturnPct  EntryTime   ExitTime Duration  
0      0.034587 2018-05-06 2018-05-07   1 days  
1      0.041848 2018-05-07 2018-05-08   1 days  
2      0.021682 2018-05-08 2018-05-09   1 days  
3      0.010538 2018-05-09 2018-05-10   1 days  
4      0.056172 2018-05-10 2018-05-11   1 days  
...         ...        ...        ...      ...  
1786   0.066929 2023-03-27 2023-03-28   1 days  
1787   0.071561 2023-03-28 2023-03-29   1 days  
1788   0.052468 2023-03-29 2023-03-30   1 days  
1789  -0.021497 2023-03-30 2023-03-31   1 days  
1790  -0.001996 2023-03-31 2023-03-31   0 days  

[1791 rows x 10 columns]",XRPUSD,MAD
0,2018-04-05,2023-03-31,1821 days,86.2788144895719,179.37127503099734,154970.96474037284,-99.82062872496901,-81.07725481068195,-71.82614879222115,30.878209888130108,0.0,0.0,0.0,-99.91171996435577,-19.724586523600482,1742 days,224 days,1556,47.75064267352185,30.031332143442246,-51.13725032182484,-0.44747474074067206,1 days,1 days,0.8519366071349724,-0.28593703902572365,-1.259958636408574,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-07  100000.000000     0.000000              NaT
2018-04-08  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27     182.345801     0.998823              NaT
2023-03-28     181.612094     0.998828              NaT
2023-03-29     179.000368     0.998845              NaT
2023-03-30     180.958740     0.998832              NaT
2023-03-31     179.371275     0.998843        1742 days

[1822 rows x 3 columns]","      Size  EntryBar  ExitBar   EntryPrice    ExitPrice          PnL  \
0       56        31       32  1762.347616  1766.660034   241.495419   
1       56        32       33  1770.193354  1673.069946 -5438.910846   
2      -56        33       34  1669.723806  1607.869995  3463.813433   
3      -61        34       35  1604.654255  1646.150024 -2531.241927   
4      -58        35       36  1642.857724  1527.489990  6691.328581   
...    ...       ...      ...          ...          ...          ...   
1551    -1      1817     1818   124.576554   120.510948     4.065606   
1552    -1      1818     1819   120.269926   121.012397    -0.742471   
1553    -1      1819     1820   120.770372   123.349456    -2.579084   
1554    -1      1820     1821   123.102757   121.170831     1.931926   
1555    -1      1821     1821   120.928489   121.170831    -0.242342   

      ReturnPct  EntryTime   ExitTime Duration  
0      0.002447 2018-05-06 2018-05-07   1 days  
1     -0.054866 2018-05-07 2018-05-08   1 days  
2      0.037044 2018-05-08 2018-05-09   1 days  
3     -0.025860 2018-05-09 2018-05-10   1 days  
4      0.070224 2018-05-10 2018-05-11   1 days  
...         ...        ...        ...      ...  
1551   0.032635 2023-03-27 2023-03-28   1 days  
1552  -0.006173 2023-03-28 2023-03-29   1 days  
1553  -0.021355 2023-03-29 2023-03-30   1 days  
1554   0.015694 2023-03-30 2023-03-31   1 days  
1555  -0.002004 2023-03-31 2023-03-31   0 days  

[1556 rows x 10 columns]",BCHUSD,MAD
