,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy,StrategyParameters
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,1774.3609756000387,100456.1092,-98.22563902439995,27.927250864271752,-55.379930248419015,16.081654624313682,0.0,0.0,0.0,-98.23369530262472,-98.23369530262472,1782 days,1782 days,1227,42.379788101059496,15.694935840780532,-35.86322512191127,-0.3296396036881921,4 days,2 days,0.6504238914292196,-0.30221003364330645,-3.347487059114593,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29    1779.735276     0.982283              NaT
2023-03-30    1783.525776     0.982246              NaT
2023-03-31    1794.187776     0.982140              NaT
2023-04-03    1785.571376     0.982225              NaT
2023-04-04    1774.360976     0.982337        1782 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     1395        31       32    71.66304      72.50  1167.55920   0.011679   
1     1392        32       33    72.64500      71.95  -967.44000  -0.009567   
2     1389        33       34    72.09390      70.73 -1894.45710  -0.018918   
3     1387        34       35    70.87146      71.75  1218.53498   0.012396   
4     1384        35       36    71.89350      70.66 -1707.16400  -0.017157   
...    ...       ...      ...         ...        ...         ...        ...   
1222    21      1254     1255    84.55377      84.75     4.12083   0.002321   
1223    21      1255     1256    84.91950      84.95     0.64050   0.000359   
1224    20      1256     1257    85.11990      85.41     5.80200   0.003408   
1225    20      1257     1258    85.58082      85.13    -9.01640  -0.005268   
1226    20      1258     1258    85.30026      85.13    -3.40520  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1222 2023-03-29 2023-03-30   1 days  
1223 2023-03-30 2023-03-31   1 days  
1224 2023-03-31 2023-04-03   3 days  
1225 2023-04-03 2023-04-04   1 days  
1226 2023-04-04 2023-04-04   0 days  

[1227 rows x 10 columns]",ATVI,MAD,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,2365.821819999769,100000.0,-97.63417818000023,4.252942692671194,-52.73516963853129,15.93207362390292,0.0,0.0,0.0,-97.65050298000023,-97.65050298000023,1783 days,1783 days,1228,43.729641693811075,15.834486943865523,-14.529147740920134,-0.307981094991161,4 days,2 days,0.6914434351768728,-0.2831689592590349,-3.140259052205849,"                  Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
2018-04-11  100000.00000     0.000000              NaT
...                  ...          ...              ...
2023-03-29    2467.16606     0.975328              NaT
2023-03-30    2439.71446     0.975603              NaT
2023-03-31    2374.91846     0.976251              NaT
2023-04-03    2349.49702     0.976505              NaT
2023-04-04    2365.82182     0.976342        1783 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0      836        31       32   119.60874     118.40 -1010.50664  -0.010106   
1      834        32       33   118.63680     123.55  4097.60880   0.041414   
2      832        33       34   123.79710     115.82 -6636.94720  -0.064437   
3     -834        34       35   115.58836     123.32 -6448.18776  -0.066889   
4      728        35       36   123.56664     124.69   817.80608   0.009091   
...    ...       ...      ...         ...        ...         ...        ...   
1223   -21      1254     1255   116.08736     119.04   -62.00544  -0.025435   
1224   -20      1255     1256   118.80192     119.90   -21.96160  -0.009243   
1225   -20      1256     1257   119.66020     121.88   -44.39600  -0.018551   
1226   -19      1257     1258   121.63624     122.70   -20.21144  -0.008745   
1227   -19      1258     1258   122.45460     122.70    -4.66260  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1223 2023-03-29 2023-03-30   1 days  
1224 2023-03-30 2023-03-31   1 days  
1225 2023-03-31 2023-04-03   3 days  
1226 2023-04-03 2023-04-04   1 days  
1227 2023-04-04 2023-04-04   0 days  

[1228 rows x 10 columns]",AAP,MAD,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,3998.0322415999126,100835.91226000001,-96.00196775840008,-53.240042072529384,-47.50146879154917,14.16492586581464,0.0,0.0,0.0,-96.13981493858714,-48.86484199628607,1771 days,891 days,1227,41.56479217603912,10.158663191043738,-9.979128500988887,-0.2653175595277113,4 days,2 days,0.6528253080226539,-0.25139712613371534,-5.0804087186470595,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29    4004.829542     0.960284              NaT
2023-03-30    4011.964542     0.960213              NaT
2023-03-31    3915.558542     0.961169              NaT
2023-04-03    3927.717442     0.961048              NaT
2023-04-04    3998.032242     0.960351        1771 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     -500        31       32   199.87944     200.50  -310.28000  -0.003105   
1     -498        32       33   200.09900     201.96  -926.77800  -0.009300   
2     -490        33       34   201.55608     197.74  1869.87920   0.018933   
3     -509        34       35   197.34452     198.83  -756.10932  -0.007527   
4     -503        35       36   198.43234     198.33    51.47702   0.000516   
...    ...       ...      ...         ...        ...         ...        ...   
1222   -39      1254     1255   102.60438     103.75   -44.67918  -0.011165   
1223   -38      1255     1256   103.54250     103.50     1.61500   0.000410   
1224   -38      1256     1257   103.29300     105.15   -70.56600  -0.017978   
1225   -37      1257     1258   104.93970     104.90     1.46890   0.000378   
1226   -37      1258     1258   104.69020     104.90    -7.76260  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1222 2023-03-29 2023-03-30   1 days  
1223 2023-03-30 2023-03-31   1 days  
1224 2023-03-31 2023-04-03   3 days  
1225 2023-04-03 2023-04-04   1 days  
1226 2023-04-04 2023-04-04   0 days  

[1227 rows x 10 columns]",MMM,MAD,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,8160.257657999871,100556.30336000002,-91.83974234200014,82.14620032337672,-39.44250643282925,17.62504557318857,0.0,0.0,0.0,-92.88146813395362,-46.844769164675526,1776 days,891 days,1228,43.729641693811075,6.634053889129987,-8.919127772037495,-0.2055148178102817,4 days,2 days,0.7225816035282411,-0.19200642363493176,-4.470313272064288,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29    8027.365758     0.920170              NaT
2023-03-30    8025.574718     0.920188              NaT
2023-03-31    7896.628478     0.921471              NaT
2023-04-03    8090.413598     0.919543              NaT
2023-04-04    8160.257658     0.918849        1776 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0      778        31       32   128.51652    129.210   539.52744   0.005396   
1      776        32       33   129.46842    129.000  -363.49392  -0.003618   
2      775        33       34   129.25800    127.400 -1439.95000  -0.014374   
3      773        34       35   127.65480    129.280  1256.27960   0.012731   
4      771        35       36   129.53856    130.270   563.94024   0.005647   
...    ...       ...      ...         ...        ...         ...        ...   
1223   -37      1254     1255   215.67778    220.570  -181.01214  -0.022683   
1224   -36      1255     1256   220.12886    220.920   -28.48104  -0.003594   
1225   -36      1256     1257   220.47816    218.540    69.77376   0.008791   
1226   -36      1257     1258   218.10292    216.155    70.12512   0.008931   
1227   -37      1258     1258   215.72269    216.155   -15.99547  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1223 2023-03-29 2023-03-30   1 days  
1224 2023-03-30 2023-03-31   1 days  
1225 2023-03-31 2023-04-03   3 days  
1226 2023-04-03 2023-04-04   1 days  
1227 2023-04-04 2023-04-04   0 days  

[1228 rows x 10 columns]",ADP,MAD,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,3647.3851173999947,100516.28341999995,-96.3526148826,73.30007591367533,-48.457214386789474,12.964591573448233,0.0,0.0,0.0,-96.38508926736043,-53.73095709549012,1715 days,890 days,1228,42.01954397394137,8.109607576765153,-10.3056481094691,-0.2698735383939721,4 days,2 days,0.6497095359968516,-0.2561184071533483,-4.020144128436901,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29    3642.682377     0.963760              NaT
2023-03-30    3633.573917     0.963851              NaT
2023-03-31    3659.012997     0.963598              NaT
2023-04-03    3675.149997     0.963437              NaT
2023-04-04    3647.385117     0.963713        1715 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0      948        31       32   105.48054     107.00  1440.44808   0.014405   
1      946        32       33   107.21400     106.55  -628.14400  -0.006193   
2      944        33       34   106.76310     105.85  -861.96640  -0.008553   
3      942        34       35   106.06170     104.55 -1424.02140  -0.014253   
4      940        35       36   104.75910     102.29 -2320.95400  -0.023569   
...    ...       ...      ...         ...        ...         ...        ...   
1223    23      1254     1255   159.29796     158.01   -29.62308  -0.008085   
1224    23      1255     1256   158.32602     158.43     2.39154   0.000657   
1225    22      1256     1257   158.74686     158.25   -10.93092  -0.003130   
1226    22      1257     1258   158.56650     160.51    42.75700   0.012257   
1227    22      1258     1258   160.83102     160.51    -7.06244  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1223 2023-03-29 2023-03-30   1 days  
1224 2023-03-30 2023-03-31   1 days  
1225 2023-03-31 2023-04-03   3 days  
1226 2023-04-03 2023-04-04   1 days  
1227 2023-04-04 2023-04-04   0 days  

[1228 rows x 10 columns]",ABBV,MAD,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,5838.051059999876,100000.0,-94.16194894000012,1.3080947983994986,-43.36856170191442,17.69269928062629,0.0,0.0,0.0,-94.35850562000012,-94.35850562000012,1783 days,1783 days,1228,44.21824104234528,12.8593095602473,-8.372231914124518,-0.2346030614861383,4 days,2 days,0.7390608674478182,-0.21584839155323268,-4.003734513033196,"                  Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
2018-04-11  100000.00000     0.000000              NaT
...                  ...          ...              ...
2023-03-29    5759.84574     0.942402              NaT
2023-03-30    5663.64874     0.943364              NaT
2023-03-31    5641.49438     0.943585              NaT
2023-04-03    5645.39096     0.943546              NaT
2023-04-04    5838.05106     0.941619        1783 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0    -1584        31       32    63.11352      64.13 -1610.10432  -0.016106   
1     1531        32       33    64.25826      64.64   584.44394   0.005941   
2     1528        33       34    64.76928      63.48 -1970.01984  -0.019906   
3    -1531        34       35    63.35304      63.88  -806.77576  -0.008318   
4     1502        35       36    64.00776      64.31   453.96448   0.004722   
...    ...       ...      ...         ...        ...         ...        ...   
1223    83      1254     1255    68.96766      69.50    44.18422   0.007719   
1224    83      1255     1256    69.63900      68.46   -97.85700  -0.016930   
1225   -83      1256     1257    68.32308      68.91   -48.71436  -0.008590   
1226    81      1257     1258    69.04782      68.65   -32.22342  -0.005762   
1227    81      1258     1258    68.78730      68.65   -11.12130  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1223 2023-03-29 2023-03-30   1 days  
1224 2023-03-30 2023-03-31   1 days  
1225 2023-03-31 2023-04-03   3 days  
1226 2023-04-03 2023-04-04   1 days  
1227 2023-04-04 2023-04-04   0 days  

[1228 rows x 10 columns]",AOS,MAD,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,2178.1131199999672,100879.65104000001,-97.82188688000004,107.1304347826087,-53.51079923555271,17.379105724722052,0.0,0.0,0.0,-97.85399636330862,-97.85399636330862,1782 days,1782 days,1227,42.70578647106765,17.764471057884236,-14.968269738549811,-0.31185228068161264,4 days,2 days,0.6843160062831646,-0.28683451850313546,-5.050531063296001,"                  Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100000.00000     0.000000              NaT
2018-04-11  100000.00000     0.000000              NaT
...                  ...          ...              ...
2023-03-29    2234.99284     0.977845              NaT
2023-03-30    2219.25836     0.978001              NaT
2023-03-31    2167.41272     0.978515              NaT
2023-04-03    2186.73272     0.978323              NaT
2023-04-04    2178.11312     0.978409        1782 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0    -8308        31       32    12.03588      11.99   381.17104   0.003812   
1    -8388        32       33    11.96602      12.12 -1291.58424  -0.012868   
2    -8192        33       34    12.09576      12.13  -280.49408  -0.002831   
3    -8162        34       35    12.10574      12.22  -932.59012  -0.009438   
4    -8025        35       36    12.19556      12.39 -1560.38100  -0.015944   
...    ...       ...      ...         ...        ...         ...        ...   
1222   -98      1254     1255    23.11368      23.68   -55.49936  -0.024502   
1223   -93      1255     1256    23.63264      23.74    -9.98448  -0.004543   
1224   -93      1256     1257    23.69252      24.00   -28.59564  -0.012978   
1225   -90      1257     1258    23.95200      23.90     4.68000   0.002171   
1226   -91      1258     1258    23.85220      23.90    -4.34980  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1222 2023-03-29 2023-03-30   1 days  
1223 2023-03-30 2023-03-31   1 days  
1224 2023-03-31 2023-04-03   3 days  
1225 2023-04-03 2023-04-04   1 days  
1226 2023-04-04 2023-04-04   0 days  

[1227 rows x 10 columns]",AES,MAD,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,3931.17837599956,108577.21927999996,-96.06882162400045,71.73404610758436,-47.678368082018864,14.63433748487134,0.0,0.0,0.0,-96.37937091954639,-15.023366219976339,1721 days,253 days,1227,41.23879380603097,9.244552575779519,-9.499445467939738,-0.26378359174437094,4 days,2 days,0.6525404570895817,-0.25048378402723287,-4.105065500636405,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29    4139.636136     0.961874              NaT
2023-03-30    4111.866976     0.962130              NaT
2023-03-31    4015.838776     0.963014              NaT
2023-04-03    3994.574776     0.963210              NaT
2023-04-04    3931.178376     0.963794        1721 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     1635        31       32    61.14204     62.000  1402.76460   0.014032   
1     1632        32       33    62.12400     62.100   -39.16800  -0.000386   
2     1629        33       34    62.22420     61.220 -1635.84180  -0.016138   
3     1625        34       35    61.34244     61.890   889.78500   0.008926   
4     1622        35       36    62.01378     62.490   772.42884   0.007679   
...    ...       ...      ...         ...        ...         ...        ...   
1222   -42      1254     1255    97.81398     99.380   -65.77284  -0.016010   
1223   -41      1255     1256    99.18124     99.915   -30.08416  -0.007398   
1224   -40      1256     1257    99.71517    100.800   -43.39320  -0.010879   
1225   -40      1257     1258   100.59840    101.900   -52.06400  -0.012939   
1226   -39      1258     1258   101.69620    101.900    -7.94820  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1222 2023-03-29 2023-03-30   1 days  
1223 2023-03-30 2023-03-31   1 days  
1224 2023-03-31 2023-04-03   3 days  
1225 2023-04-03 2023-04-04   1 days  
1226 2023-04-04 2023-04-04   0 days  

[1227 rows x 10 columns]",ABT,MAD,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,9015.171333999775,128851.59129159992,-90.98482866600021,72.29578598908472,-38.22271924446997,23.844153566914866,0.0,0.0,0.0,-93.94695260196741,-14.93534304024691,1588 days,222 days,1228,46.66123778501628,11.650669760573784,-12.735073187769553,-0.1988149705045461,4 days,2 days,0.8066509591833421,-0.17358151779438802,-1.7925659054956993,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29    9082.259134     0.929514              NaT
2023-03-30    9010.693234     0.930069              NaT
2023-03-31    9072.917894     0.929586              NaT
2023-04-03    8933.727414     0.930667              NaT
2023-04-04    9015.171334     0.930034        1588 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0      422        31       32   236.71248     239.85  1324.03344   0.013255   
1      421        32       33   240.32970     241.15   345.34630   0.003413   
2      420        33       34   241.63230     236.32 -2231.16600  -0.021985   
3      419        34       35   236.79264     243.79  2931.89384   0.029551   
4      419        35       36   244.27758     245.00   302.69398   0.002957   
...    ...       ...      ...         ...        ...         ...        ...   
1223   -24      1254     1255   375.92664     381.65  -137.36064  -0.015225   
1224    23      1255     1256   382.41330     382.29    -2.83590  -0.000322   
1225    23      1256     1257   383.05458     380.88   -50.01534  -0.005677   
1226    23      1257     1258   381.64176     382.24    13.75952   0.001568   
1227    23      1258     1258   383.00448     382.24   -17.58304  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1223 2023-03-29 2023-03-30   1 days  
1224 2023-03-30 2023-03-31   1 days  
1225 2023-03-31 2023-04-03   3 days  
1226 2023-04-03 2023-04-04   1 days  
1227 2023-04-04 2023-04-04   0 days  

[1228 rows x 10 columns]",ADBE,MAD,
0,2018-04-05,2023-04-04,1825 days,97.53772835583797,5414.391237437966,101566.12347702993,-94.58560876256202,88.586123110755,-44.216116745756885,16.433184415858566,0.0,0.0,0.0,-94.72805542425873,-33.33511257387922,1742 days,595 days,1228,42.589576547231275,8.058266367136657,-11.800814562324735,-0.23878954829208432,4 days,2 days,0.6895738496731108,-0.2238071727123372,-5.552021659171518,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100000.000000     0.000000              NaT
2018-04-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-29    5488.536297     0.945961              NaT
2023-03-30    5425.118297     0.946585              NaT
2023-03-31    5354.509737     0.947281              NaT
2023-04-03    5436.270917     0.946476              NaT
2023-04-04    5414.391237     0.946691        1742 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  \
0      643        31       32  155.310000  156.020004   456.532572   0.004572   
1     -645        32       33  155.707964  156.970001  -814.013870  -0.008105   
2      633        33       34  157.283941  155.289993 -1262.169085  -0.012677   
3      632        34       35  155.600573  155.830002   144.999137   0.001474   
4     -633        35       36  155.518342  155.389999    81.241116   0.000825   
...    ...       ...      ...         ...         ...          ...        ...   
1223   -20      1254     1255  275.448000  281.000000  -111.040000  -0.020156   
1224   -19      1255     1256  280.438000  283.120000   -50.958000  -0.009564   
1225   -19      1256     1257  282.553760  283.390000   -15.888560  -0.002960   
1226    19      1257     1258  283.956780  284.440000     9.181180   0.001702   
1227    18      1258     1258  285.008880  284.440000   -10.239840  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-05-18 2018-05-21   3 days  
1    2018-05-21 2018-05-22   1 days  
2    2018-05-22 2018-05-23   1 days  
3    2018-05-23 2018-05-24   1 days  
4    2018-05-24 2018-05-25   1 days  
...         ...        ...      ...  
1223 2023-03-29 2023-03-30   1 days  
1224 2023-03-30 2023-03-31   1 days  
1225 2023-03-31 2023-04-03   3 days  
1226 2023-04-03 2023-04-04   1 days  
1227 2023-04-04 2023-04-04   0 days  

[1228 rows x 10 columns]",ACN,MAD,
