,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy,StrategyParameters
0,2018-04-05,2023-04-04,1825 days,99.76171564733916,12699.828357999793,103812.50431599998,-87.30017164200021,-53.240042072529384,-33.83669318067783,18.514014495530446,0.0,0.0,0.0,-88.18658684827658,-46.66639909130109,1805 days,910 days,1256,44.50636942675159,8.663203481009196,-10.517311242177307,-0.16645649046406197,4 days,2 days,0.7705919770539686,-0.15263156969763547,-2.873718067840373,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100569.193680     0.000000              NaT
2018-04-11   99144.192956     0.014169              NaT
...                   ...          ...              ...
2023-03-29   12845.182558     0.876266              NaT
2023-03-30   12631.527558     0.878324              NaT
2023-03-31   12495.876558     0.879630              NaT
2023-04-03   12397.701158     0.880576              NaT
2023-04-04   12699.828358     0.877666        1805 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  \
0      463         3        4  215.750640    214.201  -717.483320  -0.007183   
1      462         4        5  214.629402    215.720   503.856276   0.005081   
2     -463         5        6  215.288560    218.090 -1297.066720  -0.013012   
3      450         6        7  218.526180    217.200  -596.781000  -0.006069   
4     -451         7        8  216.765600    219.150 -1075.364400  -0.011000   
...    ...       ...      ...         ...        ...          ...        ...   
1251  -125      1254     1255  102.604380    103.750  -143.202500  -0.011165   
1252   122      1255     1256  103.957500    103.500   -55.815000  -0.004401   
1253  -123      1256     1257  103.293000    105.150  -228.411000  -0.017978   
1254   118      1257     1258  105.360300    104.900   -54.315400  -0.004369   
1255  -118      1258     1258  104.690200    104.900   -24.756400  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-10 2018-04-11   1 days  
1    2018-04-11 2018-04-12   1 days  
2    2018-04-12 2018-04-13   1 days  
3    2018-04-13 2018-04-16   3 days  
4    2018-04-16 2018-04-17   1 days  
...         ...        ...      ...  
1251 2023-03-29 2023-03-30   1 days  
1252 2023-03-30 2023-03-31   1 days  
1253 2023-03-31 2023-04-03   3 days  
1254 2023-04-03 2023-04-04   1 days  
1255 2023-04-04 2023-04-04   0 days  

[1256 rows x 10 columns]",MMM,PercentageReturn,
0,2018-04-05,2023-04-04,1825 days,99.76171564733916,3607.394579999922,101883.54504000001,-96.39260542000008,107.1304347826087,-48.57082816778829,17.65540592706379,0.0,0.0,0.0,-96.68353167464547,-32.688013603293754,1810 days,607 days,1256,46.17834394904459,10.907264876172661,-18.23647294589179,-0.2639445157478937,4 days,2 days,0.7257165093536493,-0.23905747963886606,-4.681700930292858,"                  Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10   99106.81660     0.008932              NaT
2018-04-11   98822.49432     0.011775              NaT
...                  ...          ...              ...
2023-03-29    3738.52902     0.963306              NaT
2023-03-30    3677.90086     0.963901              NaT
2023-03-31    3643.97398     0.964234              NaT
2023-04-03    3621.79798     0.964452              NaT
2023-04-04    3607.39458     0.964593        1810 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     8670         3        4    11.53302      11.38 -1326.68340  -0.013268   
1     8653         4        5    11.40276      11.41    62.64772   0.000635   
2    -8670         5        6    11.38718      11.33   495.75060   0.005021   
3    -8775         6        7    11.30734      11.41  -900.84150  -0.009079   
4     8600         7        8    11.43282      11.57  1179.74800   0.011999   
...    ...       ...      ...         ...        ...         ...        ...   
1251  -164      1254     1255    23.11368      23.68   -92.87648  -0.024502   
1252   156      1255     1256    23.72736      23.74     1.97184   0.000533   
1253  -156      1256     1257    23.69252      24.00   -47.96688  -0.012978   
1254   152      1257     1258    24.04800      23.90   -22.49600  -0.006154   
1255  -152      1258     1258    23.85220      23.90    -7.26560  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-10 2018-04-11   1 days  
1    2018-04-11 2018-04-12   1 days  
2    2018-04-12 2018-04-13   1 days  
3    2018-04-13 2018-04-16   3 days  
4    2018-04-16 2018-04-17   1 days  
...         ...        ...      ...  
1251 2023-03-29 2023-03-30   1 days  
1252 2023-03-30 2023-03-31   1 days  
1253 2023-03-31 2023-04-03   3 days  
1254 2023-04-03 2023-04-04   1 days  
1255 2023-04-04 2023-04-04   0 days  

[1256 rows x 10 columns]",AES,PercentageReturn,
0,2018-04-05,2023-04-04,1825 days,99.76171564733916,7366.695959999907,100252.08312,-92.63330404000008,46.24713958810067,-40.66996447260205,17.641201320312245,0.0,0.0,0.0,-93.11491358066067,-93.11491358066067,1820 days,1820 days,1256,42.197452229299365,26.063662149385447,-12.046126686221337,-0.20899957302230598,4 days,2 days,0.7248760807756678,-0.190975072010472,-4.714401949072206,"                  Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100252.08312     0.000000              NaT
2018-04-11   99623.90540     0.006266              NaT
...                  ...          ...              ...
2023-03-29    7202.95524     0.928152              NaT
2023-03-30    7188.97850     0.928291              NaT
2023-03-31    7197.82826     0.928203              NaT
2023-04-03    7214.67036     0.928035              NaT
2023-04-04    7366.69596     0.926518        1820 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     2258         3        4    44.26836      44.09  -402.73688  -0.004029   
1     2254         4        5    44.17818      44.50   725.38228   0.007285   
2    -2258         5        6    44.41100      44.91 -1126.74200  -0.011236   
3     2204         6        7    44.99982      44.89  -242.04328  -0.002440   
4    -2208         7        8    44.80022      45.00  -441.11424  -0.004459   
...    ...       ...      ...         ...        ...         ...        ...   
1251   112      1254     1255    64.46868      64.67    22.54784   0.003123   
1252   111      1255     1256    64.79934      64.51   -32.11674  -0.004465   
1253  -112      1256     1257    64.38098      64.45    -7.73024  -0.001072   
1254   111      1257     1258    64.57890      65.10    57.84210   0.008069   
1255  -111      1258     1258    64.96980      65.10   -14.45220  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-10 2018-04-11   1 days  
1    2018-04-11 2018-04-12   1 days  
2    2018-04-12 2018-04-13   1 days  
3    2018-04-13 2018-04-16   3 days  
4    2018-04-16 2018-04-17   1 days  
...         ...        ...      ...  
1251 2023-03-29 2023-03-30   1 days  
1252 2023-03-30 2023-03-31   1 days  
1253 2023-03-31 2023-04-03   3 days  
1254 2023-04-03 2023-04-04   1 days  
1255 2023-04-04 2023-04-04   0 days  

[1256 rows x 10 columns]",AFL,PercentageReturn,
0,2018-04-05,2023-04-04,1825 days,99.76171564733916,6455.459579999784,108606.8165199999,-93.54454042000022,1.3080947983994986,-42.21749271137063,17.53411842604346,0.0,0.0,0.0,-94.8837493832843,-17.30395737337284,1779 days,302 days,1256,45.461783439490446,8.004986350654065,-13.311651482332465,-0.22118990694330876,4 days,2 days,0.7504764784009468,-0.20252626192150913,-4.350003476017629,"                  Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100847.70868     0.000000              NaT
2018-04-11   99226.95988     0.016071              NaT
...                  ...          ...              ...
2023-03-29    6479.16202     0.940343              NaT
2023-03-30    6264.65402     0.942318              NaT
2023-03-31    6240.09738     0.942544              NaT
2023-04-03    6244.37358     0.942505              NaT
2023-04-04    6455.45958     0.940561        1779 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     1563         3        4    63.94764      63.99    66.20868   0.000662   
1     1560         4        5    64.11798      64.19   112.35120   0.001123   
2    -1563         5        6    64.06162      64.52  -716.44794  -0.007155   
3     1538         6        7    64.64904      64.47  -275.36352  -0.002769   
4    -1541         7        8    64.34106      65.20 -1323.62654  -0.013350   
...    ...       ...      ...         ...        ...         ...        ...   
1251   -94      1254     1255    68.69234      69.50   -75.92004  -0.011758   
1252    92      1255     1256    69.63900      68.46  -108.46800  -0.016930   
1253   -92      1256     1257    68.32308      68.91   -53.99664  -0.008590   
1254    90      1257     1258    69.04782      68.65   -35.80380  -0.005762   
1255   -90      1258     1258    68.51270      68.65   -12.35700  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-10 2018-04-11   1 days  
1    2018-04-11 2018-04-12   1 days  
2    2018-04-12 2018-04-13   1 days  
3    2018-04-13 2018-04-16   3 days  
4    2018-04-16 2018-04-17   1 days  
...         ...        ...      ...  
1251 2023-03-29 2023-03-30   1 days  
1252 2023-03-30 2023-03-31   1 days  
1253 2023-03-31 2023-04-03   3 days  
1254 2023-04-03 2023-04-04   1 days  
1255 2023-04-04 2023-04-04   0 days  

[1256 rows x 10 columns]",AOS,PercentageReturn,
0,2018-04-05,2023-04-04,1825 days,99.76171564733916,11932.446246799567,101963.06106639988,-88.06755375320043,71.73404610758436,-34.65697588026549,19.62600858107748,0.0,0.0,0.0,-88.50919801322001,-58.14277217556201,1582 days,910 days,1256,44.824840764331206,9.244552575779519,-9.250577688861128,-0.1699389998768619,4 days,2 days,0.7647744979373168,-0.15675352777766116,-2.9337409674099466,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  100003.312400     0.000000              NaT
2018-04-11   98639.931040     0.013633              NaT
...                   ...          ...              ...
2023-03-29   11953.675657     0.882765              NaT
2023-03-30   11800.843217     0.884264              NaT
2023-03-31   11716.373447     0.885092              NaT
2023-04-03   11839.367847     0.883886              NaT
2023-04-04   11932.446247     0.882973        1582 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     1690         3        4    59.13804     58.640  -841.68760  -0.008422   
1     1687         4        5    58.75728     58.500  -434.03136  -0.004379   
2    -1690         5        6    58.38300     59.180 -1346.93000  -0.013651   
3     1642         6        7    59.29836     59.000  -489.90712  -0.005032   
4    -1645         7        8    58.88200     59.650 -1263.36000  -0.013043   
...    ...       ...      ...         ...        ...         ...        ...   
1251  -123      1254     1255    97.81398     99.380  -192.62046  -0.016010   
1252   119      1255     1256    99.57876     99.915    40.01256   0.003377   
1253  -119      1256     1257    99.71517    100.800  -129.09477  -0.010879   
1254   116      1257     1258   101.00160    101.900   104.21440   0.008895   
1255  -116      1258     1258   101.69620    101.900   -23.64080  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-10 2018-04-11   1 days  
1    2018-04-11 2018-04-12   1 days  
2    2018-04-12 2018-04-13   1 days  
3    2018-04-13 2018-04-16   3 days  
4    2018-04-16 2018-04-17   1 days  
...         ...        ...      ...  
1251 2023-03-29 2023-03-30   1 days  
1252 2023-03-30 2023-03-31   1 days  
1253 2023-03-31 2023-04-03   3 days  
1254 2023-04-03 2023-04-04   1 days  
1255 2023-04-04 2023-04-04   0 days  

[1256 rows x 10 columns]",ABT,PercentageReturn,
0,2018-04-05,2023-04-04,1825 days,99.76171564733916,9961.79442459965,113721.09811999984,-90.03820557540035,73.30007591367533,-36.9756471794681,17.503490384984968,0.0,0.0,0.0,-91.29492294019745,-18.702386719574353,1698 days,303 days,1256,43.23248407643312,9.946151709106266,-8.542912617153009,-0.18421321953359104,4 days,2 days,0.7513284188313961,-0.1705158007640845,-2.745780811151959,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  102111.330000     0.000000              NaT
2018-04-11  101929.555920     0.001780              NaT
...                   ...          ...              ...
2023-03-29    9912.902465     0.912831              NaT
2023-03-30    9899.509225     0.912949              NaT
2023-03-31    9906.523905     0.912888              NaT
2023-04-03    9952.000905     0.912488              NaT
2023-04-04    9961.794425     0.912402        1698 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     1090         3        4    91.68300      92.58   977.73000   0.009784   
1     1088         4        5    92.76516      93.71  1027.98592   0.010185   
2    -1090         5        6    93.52258      92.63   972.91220   0.009544   
3    -1113         6        7    92.44474      92.89  -495.57438  -0.004816   
4     1101         7        8    93.07578      93.20   136.76622   0.001335   
...    ...       ...      ...         ...        ...         ...        ...   
1251    62      1254     1255   159.29796     158.01   -79.85352  -0.008085   
1252   -62      1255     1256   157.69398     158.43   -45.63324  -0.004667   
1253    62      1256     1257   158.74686     158.25   -30.80532  -0.003130   
1254    62      1257     1258   158.56650     160.51   120.49700   0.012257   
1255   -62      1258     1258   160.18898     160.51   -19.90324  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-10 2018-04-11   1 days  
1    2018-04-11 2018-04-12   1 days  
2    2018-04-12 2018-04-13   1 days  
3    2018-04-13 2018-04-16   3 days  
4    2018-04-16 2018-04-17   1 days  
...         ...        ...      ...  
1251 2023-03-29 2023-03-30   1 days  
1252 2023-03-30 2023-03-31   1 days  
1253 2023-03-31 2023-04-03   3 days  
1254 2023-04-03 2023-04-04   1 days  
1255 2023-04-04 2023-04-04   0 days  

[1256 rows x 10 columns]",ABBV,PercentageReturn,
0,2018-04-05,2023-04-04,1825 days,99.76171564733916,2649.381492599883,101111.42498000003,-97.35061850740011,82.14620032337672,-51.652011925658336,13.405265334385469,0.0,0.0,0.0,-97.44218785057035,-25.03491335766307,1810 days,456 days,1256,40.52547770700637,6.634053889129987,-9.415457635199376,-0.29114355502598555,4 days,2 days,0.6268177623540491,-0.2773565033544245,-4.615494783166891,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10   99748.931600     0.002511              NaT
2018-04-11   99266.529360     0.007335              NaT
...                   ...          ...              ...
2023-03-29    2704.877653     0.973249              NaT
2023-03-30    2678.583973     0.973509              NaT
2023-03-31    2669.921893     0.973594              NaT
2023-04-03    2692.996933     0.973366              NaT
2023-04-04    2649.381493     0.973797        1810 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0      860         3        4   116.20194    114.640 -1343.26840  -0.013442   
1      858         4        5   114.86928    116.040  1004.47776   0.010192   
2     -860         5        6   115.80792    115.950  -122.18880  -0.001227   
3      856         6        7   116.18190    116.440   220.93360   0.002222   
4      855         7        8   116.67288    118.350  1433.93760   0.014375   
...    ...       ...      ...         ...        ...         ...        ...   
1251   -12      1254     1255   215.67778    220.570   -58.70664  -0.022683   
1252    12      1255     1256   221.01114    220.920    -1.09368  -0.000412   
1253   -12      1256     1257   220.47816    218.540    23.25792   0.008791   
1254    12      1257     1258   218.97708    216.155   -33.86496  -0.012888   
1255   -12      1258     1258   215.72269    216.155    -5.18772  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-10 2018-04-11   1 days  
1    2018-04-11 2018-04-12   1 days  
2    2018-04-12 2018-04-13   1 days  
3    2018-04-13 2018-04-16   3 days  
4    2018-04-16 2018-04-17   1 days  
...         ...        ...      ...  
1251 2023-03-29 2023-03-30   1 days  
1252 2023-03-30 2023-03-31   1 days  
1253 2023-03-31 2023-04-03   3 days  
1254 2023-04-03 2023-04-04   1 days  
1255 2023-04-04 2023-04-04   0 days  

[1256 rows x 10 columns]",ADP,PercentageReturn,
0,2018-04-05,2023-04-04,1825 days,99.76171564733916,4236.92433339973,100000.0,-95.76307566660027,27.927250864271752,-46.88807528229151,19.73081060223923,0.0,0.0,0.0,-95.76307566660027,-95.76307566660027,1821 days,1821 days,1256,43.152866242038215,35.320856957751936,-16.61273241132819,-0.25193873629896224,4 days,2 days,0.7250138108096268,-0.22712250104258255,-3.4246633423705966,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10   99144.859200     0.008551              NaT
2018-04-11   97800.930400     0.021991              NaT
...                   ...          ...              ...
2023-03-29    4250.320253     0.957497              NaT
2023-03-30    4259.345253     0.957407              NaT
2023-03-31    4285.850253     0.957141              NaT
2023-04-03    4264.560073     0.957354              NaT
2023-04-04    4236.924333     0.957631        1821 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0     1490         3        4    67.09392      65.80 -1927.94080  -0.019285   
1    -1493         4        5    65.66840      66.25  -868.32880  -0.008857   
2    -1470         5        6    66.11750      67.46 -1973.47500  -0.020305   
3     1408         6        7    67.59492      66.53 -1499.40736  -0.015754   
4    -1411         7        8    66.39694      67.25 -1203.66766  -0.012848   
...    ...       ...      ...         ...        ...         ...        ...   
1251    50      1254     1255    84.55377      84.75     9.81150   0.002321   
1252    50      1255     1256    84.91950      84.95     1.52500   0.000359   
1253    50      1256     1257    85.11990      85.41    14.50500   0.003408   
1254    49      1257     1258    85.58082      85.13   -22.09018  -0.005268   
1255   -50      1258     1258    84.95974      85.13    -8.51300  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-10 2018-04-11   1 days  
1    2018-04-11 2018-04-12   1 days  
2    2018-04-12 2018-04-13   1 days  
3    2018-04-13 2018-04-16   3 days  
4    2018-04-16 2018-04-17   1 days  
...         ...        ...      ...  
1251 2023-03-29 2023-03-30   1 days  
1252 2023-03-30 2023-03-31   1 days  
1253 2023-03-31 2023-04-03   3 days  
1254 2023-04-03 2023-04-04   1 days  
1255 2023-04-04 2023-04-04   0 days  

[1256 rows x 10 columns]",ATVI,PercentageReturn,
0,2018-04-05,2023-04-04,1825 days,99.76171564733916,4236.598953371948,101170.41196335,-95.76340104662805,88.586123110755,-46.888891714957346,15.181008521978015,0.0,0.0,0.0,-95.81783154653486,-95.81783154653486,1820 days,1820 days,1256,43.152866242038215,7.491486521792201,-11.800814562324735,-0.2531795057210129,4 days,2 days,0.6694181866953044,-0.23845225871308748,-5.239432161517896,"                   Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.000000     0.000000              NaT
2018-04-06  100000.000000     0.000000              NaT
2018-04-09  100000.000000     0.000000              NaT
2018-04-10  101170.411963     0.000000              NaT
2018-04-11   98545.752786     0.025943              NaT
...                   ...          ...              ...
2023-03-29    4272.490653     0.957769              NaT
2023-03-30    4273.060653     0.957764              NaT
2023-03-31    4231.117053     0.958178              NaT
2023-04-03    4295.665353     0.957540              NaT
2023-04-04    4236.598953     0.958124        1820 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  \
0      665         3        4  150.289985  149.399994  -591.844022  -0.005922   
1      664         4        5  149.698794  149.179993  -344.483856  -0.003466   
2     -665         5        6  148.881633  151.000000 -1408.714046  -0.014229   
3      645         6        7  151.302000  151.449997    95.458065   0.000978   
4     -646         7        8  151.147097  152.649994  -970.871458  -0.009943   
...    ...       ...      ...         ...         ...          ...        ...   
1251   -15      1254     1255  275.448000  281.000000   -83.280000  -0.020156   
1252    15      1255     1256  281.562000  283.120000    23.370000   0.005533   
1253   -15      1256     1257  282.553760  283.390000   -12.543600  -0.002960   
1254    15      1257     1258  283.956780  284.440000     7.248300   0.001702   
1255   -15      1258     1258  283.871120  284.440000    -8.533200  -0.002004   

      EntryTime   ExitTime Duration  
0    2018-04-10 2018-04-11   1 days  
1    2018-04-11 2018-04-12   1 days  
2    2018-04-12 2018-04-13   1 days  
3    2018-04-13 2018-04-16   3 days  
4    2018-04-16 2018-04-17   1 days  
...         ...        ...      ...  
1251 2023-03-29 2023-03-30   1 days  
1252 2023-03-30 2023-03-31   1 days  
1253 2023-03-31 2023-04-03   3 days  
1254 2023-04-03 2023-04-04   1 days  
1255 2023-04-04 2023-04-04   0 days  

[1256 rows x 10 columns]",ACN,PercentageReturn,
0,2018-04-05,2023-04-04,1825 days,99.76171564733916,3261.5953300000383,104016.74974000001,-96.73840466999995,78.6630654962863,-49.597756932859625,13.866770199174159,0.0,0.0,0.0,-96.89203465972476,-48.65596938139349,1814 days,909 days,1256,41.32165605095541,7.598308206737636,-11.007138864790345,-0.27415266808423766,4 days,2 days,0.6431012126130774,-0.2605048260939713,-5.619592762601957,"                  Equity  DrawdownPct DrawdownDuration
2018-04-05  100000.00000     0.000000              NaT
2018-04-06  100000.00000     0.000000              NaT
2018-04-09  100000.00000     0.000000              NaT
2018-04-10  100832.81680     0.000000              NaT
2018-04-11  101425.71664     0.000000              NaT
...                  ...          ...              ...
2023-03-29    3341.40545     0.967876              NaT
2023-03-30    3314.84845     0.968132              NaT
2023-03-31    3275.41173     0.968511              NaT
2023-04-03    3232.80453     0.968920              NaT
2023-04-04    3261.59533     0.968644        1814 days

[1259 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  \
0    -2246         3        4    44.51080      43.96  1237.09680   0.012375   
1     2298         4        5    44.04792      44.33   648.21984   0.006404   
2     2293         5        6    44.41866      45.34  2112.63262   0.020742   
3     2289         6        7    45.43068      45.50   158.67348   0.001526   
4    -2293         7        8    45.40900      45.68  -621.40300  -0.005968   
...    ...       ...      ...         ...        ...         ...        ...   
1251   -41      1254     1255    79.31106      79.25     2.50346   0.000770   
1252   -42      1255     1256    79.09150      79.96   -36.47700  -0.010981   
1253    41      1256     1257    80.11992      79.60   -21.31672  -0.006489   
1254   -41      1257     1258    79.44080      80.37   -38.09720  -0.011697   
1255    40      1258     1258    80.53074      80.37    -6.42960  -0.001996   

      EntryTime   ExitTime Duration  
0    2018-04-10 2018-04-11   1 days  
1    2018-04-11 2018-04-12   1 days  
2    2018-04-12 2018-04-13   1 days  
3    2018-04-13 2018-04-16   3 days  
4    2018-04-16 2018-04-17   1 days  
...         ...        ...      ...  
1251 2023-03-29 2023-03-30   1 days  
1252 2023-03-30 2023-03-31   1 days  
1253 2023-03-31 2023-04-03   3 days  
1254 2023-04-03 2023-04-04   1 days  
1255 2023-04-04 2023-04-04   0 days  

[1256 rows x 10 columns]",ADM,PercentageReturn,
