,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy,StrategyParameters
0,2018-04-02,2023-03-29,1822 days,0.0,100000.0,100000.0,0.0,-51.467406640955694,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
Date                                               
2018-04-02  100000.0          0.0               NaN
2018-04-03  100000.0          0.0               NaN
2018-04-04  100000.0          0.0               NaN
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-23  100000.0          0.0               NaN
2023-03-24  100000.0          0.0               NaN
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN

[1258 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",MMM,StandardDeviation,
1,2018-04-02,2023-03-29,1822 days,0.0,100000.0,100000.0,0.0,11.864956987502033,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
Date                                               
2018-04-02  100000.0          0.0               NaN
2018-04-03  100000.0          0.0               NaN
2018-04-04  100000.0          0.0               NaN
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-23  100000.0          0.0               NaN
2023-03-24  100000.0          0.0               NaN
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN

[1258 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",AOS,StandardDeviation,
2,2018-04-02,2023-03-29,1822 days,0.0,100000.0,100000.0,0.0,89.17421784495791,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
Date                                               
2018-04-02  100000.0          0.0               NaN
2018-04-03  100000.0          0.0               NaN
2018-04-04  100000.0          0.0               NaN
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-23  100000.0          0.0               NaN
2023-03-24  100000.0          0.0               NaN
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN

[1258 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",ACN,StandardDeviation,
3,2018-04-02,2023-03-29,1822 days,0.0,100000.0,100000.0,0.0,72.75311611633502,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
Date                                               
2018-04-02  100000.0          0.0               NaN
2018-04-03  100000.0          0.0               NaN
2018-04-04  100000.0          0.0               NaN
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-23  100000.0          0.0               NaN
2023-03-24  100000.0          0.0               NaN
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN

[1258 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",ABBV,StandardDeviation,
4,2018-04-02,2023-03-29,1822 days,0.0,100000.0,100000.0,0.0,94.08649602824362,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
Date                                               
2018-04-02  100000.0          0.0               NaN
2018-04-03  100000.0          0.0               NaN
2018-04-04  100000.0          0.0               NaN
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-23  100000.0          0.0               NaN
2023-03-24  100000.0          0.0               NaN
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN

[1258 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",ADP,StandardDeviation,
5,2018-04-02,2023-03-29,1822 days,0.0,100000.0,100000.0,0.0,86.87012065294533,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
Date                                               
2018-04-02  100000.0          0.0               NaN
2018-04-03  100000.0          0.0               NaN
2018-04-04  100000.0          0.0               NaN
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-23  100000.0          0.0               NaN
2023-03-24  100000.0          0.0               NaN
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN

[1258 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",ADM,StandardDeviation,
6,2018-04-02,2023-03-29,1822 days,0.0,100000.0,100000.0,0.0,78.61315244017337,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
Date                                               
2018-04-02  100000.0          0.0               NaN
2018-04-03  100000.0          0.0               NaN
2018-04-04  100000.0          0.0               NaN
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-23  100000.0          0.0               NaN
2023-03-24  100000.0          0.0               NaN
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN

[1258 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",ADBE,StandardDeviation,
7,2018-04-02,2023-03-29,1822 days,0.0,100000.0,100000.0,0.0,29.881702258411437,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
Date                                               
2018-04-02  100000.0          0.0               NaN
2018-04-03  100000.0          0.0               NaN
2018-04-04  100000.0          0.0               NaN
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-23  100000.0          0.0               NaN
2023-03-24  100000.0          0.0               NaN
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN

[1258 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",ATVI,StandardDeviation,
8,2018-04-02,2023-03-29,1822 days,0.0,100000.0,100000.0,0.0,5.020995264897695,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
Date                                               
2018-04-02  100000.0          0.0               NaN
2018-04-03  100000.0          0.0               NaN
2018-04-04  100000.0          0.0               NaN
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-23  100000.0          0.0               NaN
2023-03-24  100000.0          0.0               NaN
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN

[1258 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",AAP,StandardDeviation,
9,2018-04-02,2023-03-29,1822 days,0.0,100000.0,100000.0,0.0,106.33245382585754,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
Date                                               
2018-04-02  100000.0          0.0               NaN
2018-04-03  100000.0          0.0               NaN
2018-04-04  100000.0          0.0               NaN
2018-04-05  100000.0          0.0               NaN
2018-04-06  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-23  100000.0          0.0               NaN
2023-03-24  100000.0          0.0               NaN
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN

[1258 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",AES,StandardDeviation,
